teta, No hyperboxes, Training time, Testing error
0.010000, 527.000000, 1.525040, 0.000000
0.020000, 333.000000, 1.349067, 0.000000
0.030000, 231.000000, 0.997999, 0.000000
0.040000, 176.000000, 0.741514, 0.000000
0.050000, 131.000000, 0.579248, 0.000000
0.060000, 111.000000, 0.471520, 0.000000
0.070000, 96.000000, 0.349087, 0.000000
0.080000, 83.000000, 0.333987, 0.000000
0.090000, 75.000000, 0.310943, 0.000000
0.100000, 67.000000, 0.244876, 0.000000
0.110000, 57.000000, 0.194596, 0.000000
0.120000, 48.000000, 0.203734, 0.000000
0.130000, 43.000000, 0.154860, 0.000000
0.140000, 41.000000, 0.159938, 0.000000
0.150000, 40.000000, 0.192627, 0.000000
0.160000, 40.000000, 0.170656, 0.000000
0.170000, 40.000000, 0.143438, 0.000000
0.180000, 40.000000, 0.161065, 0.000000
0.190000, 40.000000, 0.157355, 0.000000
0.200000, 40.000000, 0.149446, 0.000000
0.210000, 40.000000, 0.169420, 0.000000
0.220000, 40.000000, 0.159323, 0.000000
0.230000, 40.000000, 0.170513, 0.000000
0.240000, 40.000000, 0.149440, 0.000000
0.250000, 40.000000, 0.186370, 0.000000
0.260000, 40.000000, 0.169684, 0.000000
0.270000, 40.000000, 0.144596, 0.000000
0.280000, 40.000000, 0.206034, 0.000000
0.290000, 40.000000, 0.159345, 0.000000
0.300000, 40.000000, 0.165655, 0.000000
0.310000, 40.000000, 0.154423, 0.000000
0.320000, 40.000000, 0.168396, 0.000000
0.330000, 40.000000, 0.168649, 0.000000
0.340000, 40.000000, 0.160880, 0.000000
0.350000, 40.000000, 0.159467, 0.000000
0.360000, 40.000000, 0.163298, 0.000000
0.370000, 40.000000, 0.154838, 0.000000
0.380000, 40.000000, 0.149917, 0.000000
0.390000, 40.000000, 0.157465, 0.000000
0.400000, 40.000000, 0.174093, 0.000000
0.410000, 40.000000, 0.155357, 0.000000
0.420000, 40.000000, 0.174609, 0.000000
0.430000, 40.000000, 0.142167, 0.000000
0.440000, 40.000000, 0.144355, 0.000000
0.450000, 40.000000, 0.183147, 0.000000
0.460000, 40.000000, 0.170363, 0.000000
0.470000, 40.000000, 0.155252, 0.000000
0.480000, 40.000000, 0.156479, 0.000000
0.490000, 40.000000, 0.153666, 0.000000
0.500000, 40.000000, 0.168536, 0.000000
0.510000, 40.000000, 0.144351, 0.000000
0.520000, 40.000000, 0.178442, 0.000000
0.530000, 40.000000, 0.172505, 0.000000
0.540000, 40.000000, 0.164952, 0.000000
0.550000, 40.000000, 0.138987, 0.000000
0.560000, 40.000000, 0.181539, 0.000000
0.570000, 40.000000, 0.197704, 0.000000
0.580000, 40.000000, 0.162237, 0.000000
0.590000, 40.000000, 0.169785, 0.000000
0.600000, 40.000000, 0.157598, 0.000000
0.610000, 40.000000, 0.164904, 0.000000
0.620000, 40.000000, 0.168988, 0.000000
0.630000, 40.000000, 0.154096, 0.000000
0.640000, 40.000000, 0.161267, 0.000000
0.650000, 40.000000, 0.143781, 0.000000
0.660000, 40.000000, 0.160180, 0.000000
0.670000, 40.000000, 0.161643, 0.000000
0.680000, 40.000000, 0.144818, 0.000000
0.690000, 40.000000, 0.161291, 0.000000
0.700000, 40.000000, 0.178173, 0.000000
0.710000, 40.000000, 0.147592, 0.000000
0.720000, 40.000000, 0.158480, 0.000000
0.730000, 40.000000, 0.163007, 0.000000
0.740000, 40.000000, 0.148106, 0.000000
0.750000, 40.000000, 0.184273, 0.000000
0.760000, 40.000000, 0.143078, 0.000000
0.770000, 40.000000, 0.161725, 0.000000
0.780000, 40.000000, 0.154743, 0.000000
0.790000, 40.000000, 0.163369, 0.000000
0.800000, 40.000000, 0.171583, 0.000000
0.810000, 40.000000, 0.154408, 0.000000
0.820000, 40.000000, 0.145487, 0.000000
0.830000, 40.000000, 0.153903, 0.000000
0.840000, 40.000000, 0.146945, 0.000000
0.850000, 40.000000, 0.172156, 0.000000
0.860000, 40.000000, 0.158431, 0.000000
0.870000, 40.000000, 0.145139, 0.000000
0.880000, 40.000000, 0.149727, 0.000000
0.890000, 40.000000, 0.145566, 0.000000
0.900000, 40.000000, 0.141184, 0.000000
0.910000, 40.000000, 0.160616, 0.000000
0.920000, 40.000000, 0.161395, 0.000000
0.930000, 40.000000, 0.169724, 0.000000
0.940000, 40.000000, 0.193647, 0.000000
0.950000, 40.000000, 0.174718, 0.000000
0.960000, 40.000000, 0.154881, 0.000000
0.970000, 40.000000, 0.164855, 0.000000
0.980000, 40.000000, 0.149802, 0.000000
0.990000, 40.000000, 0.141826, 0.000000
