teta, No hyperboxes, Training time, Testing error
0.010000, 527.000000, 2.035392, 0.000000
0.020000, 333.000000, 1.538927, 0.000000
0.030000, 231.000000, 1.121899, 0.000000
0.040000, 176.000000, 0.859088, 0.000000
0.050000, 131.000000, 0.620000, 0.000000
0.060000, 111.000000, 0.593595, 0.000000
0.070000, 96.000000, 0.493412, 0.000000
0.080000, 83.000000, 0.500541, 0.000000
0.090000, 75.000000, 0.432671, 0.000000
0.100000, 67.000000, 0.352348, 0.000000
0.110000, 57.000000, 0.331170, 0.000000
0.120000, 48.000000, 0.333743, 0.000000
0.130000, 43.000000, 0.317522, 0.000000
0.140000, 41.000000, 0.309916, 0.000000
0.150000, 40.000000, 0.323677, 0.000000
0.160000, 40.000000, 0.331493, 0.000000
0.170000, 40.000000, 0.303932, 0.000000
0.180000, 40.000000, 0.304589, 0.000000
0.190000, 40.000000, 0.307269, 0.000000
0.200000, 40.000000, 0.305249, 0.000000
0.210000, 40.000000, 0.297370, 0.000000
0.220000, 40.000000, 0.308813, 0.000000
0.230000, 40.000000, 0.284761, 0.000000
0.240000, 40.000000, 0.290966, 0.000000
0.250000, 40.000000, 0.278923, 0.000000
0.260000, 40.000000, 0.279738, 0.000000
0.270000, 40.000000, 0.280144, 0.000000
0.280000, 40.000000, 0.279331, 0.000000
0.290000, 40.000000, 0.286421, 0.000000
0.300000, 40.000000, 0.278350, 0.000000
0.310000, 40.000000, 0.280170, 0.000000
0.320000, 40.000000, 0.281212, 0.000000
0.330000, 40.000000, 0.281420, 0.000000
0.340000, 40.000000, 0.278985, 0.000000
0.350000, 40.000000, 0.283140, 0.000000
0.360000, 40.000000, 0.270761, 0.000000
0.370000, 40.000000, 0.316231, 0.000000
0.380000, 40.000000, 0.283762, 0.000000
0.390000, 40.000000, 0.300145, 0.000000
0.400000, 40.000000, 0.298131, 0.000000
0.410000, 40.000000, 0.284964, 0.000000
0.420000, 40.000000, 0.297790, 0.000000
0.430000, 40.000000, 0.277681, 0.000000
0.440000, 40.000000, 0.321337, 0.000000
0.450000, 40.000000, 0.281163, 0.000000
0.460000, 40.000000, 0.290011, 0.000000
0.470000, 40.000000, 0.281455, 0.000000
0.480000, 40.000000, 0.289466, 0.000000
0.490000, 40.000000, 0.281072, 0.000000
0.500000, 40.000000, 0.301447, 0.000000
0.510000, 40.000000, 0.292173, 0.000000
0.520000, 40.000000, 0.289777, 0.000000
0.530000, 40.000000, 0.280416, 0.000000
0.540000, 40.000000, 0.306697, 0.000000
0.550000, 40.000000, 0.302602, 0.000000
0.560000, 40.000000, 0.309610, 0.000000
0.570000, 40.000000, 0.307657, 0.000000
0.580000, 40.000000, 0.308771, 0.000000
0.590000, 40.000000, 0.301875, 0.000000
0.600000, 40.000000, 0.277217, 0.000000
0.610000, 40.000000, 0.304005, 0.000000
0.620000, 40.000000, 0.284571, 0.000000
0.630000, 40.000000, 0.334100, 0.000000
0.640000, 40.000000, 0.279376, 0.000000
0.650000, 40.000000, 0.289008, 0.000000
0.660000, 40.000000, 0.291332, 0.000000
0.670000, 40.000000, 0.310053, 0.000000
0.680000, 40.000000, 0.282481, 0.000000
0.690000, 40.000000, 0.302510, 0.000000
0.700000, 40.000000, 0.278586, 0.000000
0.710000, 40.000000, 0.304161, 0.000000
0.720000, 40.000000, 0.275420, 0.000000
0.730000, 40.000000, 0.320606, 0.000000
0.740000, 40.000000, 0.279479, 0.000000
0.750000, 40.000000, 0.267226, 0.000000
0.760000, 40.000000, 0.267948, 0.000000
0.770000, 40.000000, 0.264875, 0.000000
0.780000, 40.000000, 0.279909, 0.000000
0.790000, 40.000000, 0.277268, 0.000000
0.800000, 40.000000, 0.269242, 0.000000
0.810000, 40.000000, 0.284782, 0.000000
0.820000, 40.000000, 0.274175, 0.000000
0.830000, 40.000000, 0.270569, 0.000000
0.840000, 40.000000, 0.301278, 0.000000
0.850000, 40.000000, 0.297895, 0.000000
0.860000, 40.000000, 0.295819, 0.000000
0.870000, 40.000000, 0.287360, 0.000000
0.880000, 40.000000, 0.277491, 0.000000
0.890000, 40.000000, 0.272561, 0.000000
0.900000, 40.000000, 0.281088, 0.000000
0.910000, 40.000000, 0.290091, 0.000000
0.920000, 40.000000, 0.274471, 0.000000
0.930000, 40.000000, 0.281588, 0.000000
0.940000, 40.000000, 0.276656, 0.000000
0.950000, 40.000000, 0.273180, 0.000000
0.960000, 40.000000, 0.285419, 0.000000
0.970000, 40.000000, 0.269820, 0.000000
0.980000, 40.000000, 0.272144, 0.000000
0.990000, 40.000000, 0.272633, 0.000000
