teta, No hyperboxes, Training time, Testing error
0.010000, 170.000000, 0.045168, 0.348837
0.020000, 166.000000, 0.050304, 0.348837
0.030000, 158.000000, 0.053537, 0.348837
0.040000, 148.000000, 0.063372, 0.348837
0.050000, 136.000000, 0.099331, 0.348837
0.060000, 128.000000, 0.073308, 0.325581
0.070000, 122.000000, 0.064644, 0.255814
0.080000, 112.000000, 0.068787, 0.302326
0.090000, 104.000000, 0.073553, 0.279070
0.100000, 95.000000, 0.080624, 0.302326
0.110000, 95.000000, 0.065411, 0.325581
0.120000, 88.000000, 0.101158, 0.325581
0.130000, 83.000000, 0.062639, 0.302326
0.140000, 76.000000, 0.069086, 0.325581
0.150000, 73.000000, 0.064127, 0.348837
0.160000, 68.000000, 0.067816, 0.325581
0.170000, 67.000000, 0.076044, 0.395349
0.180000, 59.000000, 0.070961, 0.325581
0.190000, 58.000000, 0.067688, 0.348837
0.200000, 55.000000, 0.057281, 0.372093
0.210000, 52.000000, 0.073677, 0.302326
0.220000, 51.000000, 0.045241, 0.302326
0.230000, 49.000000, 0.043925, 0.302326
0.240000, 49.000000, 0.043716, 0.279070
0.250000, 49.000000, 0.043152, 0.279070
0.260000, 45.000000, 0.041551, 0.232558
0.270000, 45.000000, 0.041384, 0.255814
0.280000, 44.000000, 0.040233, 0.232558
0.290000, 43.000000, 0.054907, 0.441860
0.300000, 43.000000, 0.037005, 0.418605
0.310000, 38.000000, 0.032280, 0.418605
0.320000, 37.000000, 0.034871, 0.325581
0.330000, 37.000000, 0.040147, 0.279070
0.340000, 34.000000, 0.029469, 0.232558
0.350000, 34.000000, 0.028510, 0.395349
0.360000, 34.000000, 0.036136, 0.395349
0.370000, 33.000000, 0.029527, 0.418605
0.380000, 30.000000, 0.030087, 0.395349
0.390000, 29.000000, 0.029678, 0.395349
0.400000, 29.000000, 0.038237, 0.441860
0.410000, 26.000000, 0.027581, 0.441860
0.420000, 25.000000, 0.047637, 0.441860
0.430000, 25.000000, 0.029351, 0.441860
0.440000, 23.000000, 0.026758, 0.441860
0.450000, 23.000000, 0.027655, 0.441860
0.460000, 22.000000, 0.026764, 0.441860
0.470000, 22.000000, 0.027378, 0.465116
0.480000, 21.000000, 0.025482, 0.441860
0.490000, 20.000000, 0.023791, 0.488372
0.500000, 20.000000, 0.024965, 0.511628
0.510000, 20.000000, 0.022714, 0.511628
0.520000, 18.000000, 0.022144, 0.534884
0.530000, 18.000000, 0.028989, 0.534884
0.540000, 17.000000, 0.023318, 0.534884
0.550000, 17.000000, 0.021277, 0.558140
0.560000, 17.000000, 0.021991, 0.558140
0.570000, 17.000000, 0.021435, 0.558140
0.580000, 17.000000, 0.020671, 0.558140
0.590000, 17.000000, 0.024150, 0.558140
0.600000, 17.000000, 0.036995, 0.558140
0.610000, 17.000000, 0.035751, 0.558140
0.620000, 17.000000, 0.020314, 0.558140
0.630000, 17.000000, 0.024714, 0.558140
0.640000, 16.000000, 0.019721, 0.558140
0.650000, 16.000000, 0.019202, 0.558140
0.660000, 16.000000, 0.019663, 0.558140
0.670000, 16.000000, 0.020337, 0.534884
0.680000, 16.000000, 0.020410, 0.534884
0.690000, 15.000000, 0.019134, 0.534884
0.700000, 15.000000, 0.019393, 0.534884
0.710000, 15.000000, 0.018989, 0.534884
0.720000, 15.000000, 0.018586, 0.511628
0.730000, 14.000000, 0.017645, 0.511628
0.740000, 14.000000, 0.017735, 0.511628
0.750000, 13.000000, 0.018142, 0.511628
0.760000, 13.000000, 0.018401, 0.511628
0.770000, 12.000000, 0.017011, 0.511628
0.780000, 12.000000, 0.017556, 0.511628
0.790000, 13.000000, 0.018086, 0.534884
0.800000, 12.000000, 0.024641, 0.348837
0.810000, 12.000000, 0.016779, 0.441860
0.820000, 12.000000, 0.015721, 0.465116
0.830000, 12.000000, 0.015615, 0.511628
0.840000, 12.000000, 0.015828, 0.534884
0.850000, 12.000000, 0.015664, 0.534884
0.860000, 12.000000, 0.014833, 0.534884
0.870000, 12.000000, 0.014624, 0.534884
0.880000, 11.000000, 0.015192, 0.534884
0.890000, 10.000000, 0.014344, 0.534884
0.900000, 10.000000, 0.014350, 0.534884
0.910000, 10.000000, 0.014724, 0.534884
0.920000, 9.000000, 0.015581, 0.558140
0.930000, 9.000000, 0.017100, 0.558140
0.940000, 9.000000, 0.015158, 0.558140
0.950000, 9.000000, 0.016377, 0.558140
0.960000, 9.000000, 0.016151, 0.558140
0.970000, 9.000000, 0.015076, 0.558140
0.980000, 8.000000, 0.014886, 0.558140
0.990000, 8.000000, 0.015796, 0.558140
