teta, No hyperboxes, Training time, Testing error
0.010000, 170.000000, 0.102033, 0.348837
0.020000, 166.000000, 0.100679, 0.348837
0.030000, 158.000000, 0.098227, 0.348837
0.040000, 148.000000, 0.100656, 0.348837
0.050000, 136.000000, 0.098103, 0.348837
0.060000, 128.000000, 0.101206, 0.325581
0.070000, 122.000000, 0.095039, 0.255814
0.080000, 112.000000, 0.092939, 0.302326
0.090000, 104.000000, 0.089661, 0.279070
0.100000, 95.000000, 0.086365, 0.302326
0.110000, 95.000000, 0.085376, 0.325581
0.120000, 88.000000, 0.080237, 0.325581
0.130000, 83.000000, 0.077768, 0.302326
0.140000, 76.000000, 0.076321, 0.325581
0.150000, 73.000000, 0.078238, 0.348837
0.160000, 68.000000, 0.071824, 0.325581
0.170000, 67.000000, 0.073765, 0.395349
0.180000, 59.000000, 0.067821, 0.325581
0.190000, 58.000000, 0.066641, 0.348837
0.200000, 55.000000, 0.063525, 0.372093
0.210000, 52.000000, 0.060029, 0.302326
0.220000, 51.000000, 0.056653, 0.302326
0.230000, 49.000000, 0.055167, 0.302326
0.240000, 49.000000, 0.054131, 0.279070
0.250000, 49.000000, 0.053706, 0.279070
0.260000, 45.000000, 0.054108, 0.232558
0.270000, 45.000000, 0.050915, 0.255814
0.280000, 44.000000, 0.049722, 0.232558
0.290000, 43.000000, 0.051768, 0.441860
0.300000, 43.000000, 0.048230, 0.418605
0.310000, 38.000000, 0.044034, 0.418605
0.320000, 37.000000, 0.049554, 0.325581
0.330000, 37.000000, 0.047452, 0.279070
0.340000, 34.000000, 0.044168, 0.232558
0.350000, 34.000000, 0.043255, 0.395349
0.360000, 34.000000, 0.042385, 0.395349
0.370000, 33.000000, 0.040026, 0.418605
0.380000, 30.000000, 0.039135, 0.395349
0.390000, 29.000000, 0.038063, 0.395349
0.400000, 29.000000, 0.040650, 0.441860
0.410000, 26.000000, 0.038370, 0.441860
0.420000, 25.000000, 0.041408, 0.441860
0.430000, 25.000000, 0.039947, 0.441860
0.440000, 23.000000, 0.059601, 0.441860
0.450000, 23.000000, 0.042305, 0.441860
0.460000, 22.000000, 0.043522, 0.441860
0.470000, 22.000000, 0.041257, 0.465116
0.480000, 21.000000, 0.040846, 0.441860
0.490000, 20.000000, 0.044749, 0.488372
0.500000, 20.000000, 0.039936, 0.511628
0.510000, 20.000000, 0.040832, 0.511628
0.520000, 18.000000, 0.051760, 0.534884
0.530000, 18.000000, 0.038462, 0.534884
0.540000, 17.000000, 0.035094, 0.534884
0.550000, 17.000000, 0.032619, 0.558140
0.560000, 17.000000, 0.030781, 0.558140
0.570000, 17.000000, 0.032643, 0.558140
0.580000, 17.000000, 0.031219, 0.558140
0.590000, 17.000000, 0.031839, 0.558140
0.600000, 17.000000, 0.041540, 0.558140
0.610000, 17.000000, 0.037666, 0.558140
0.620000, 17.000000, 0.031471, 0.558140
0.630000, 17.000000, 0.030710, 0.558140
0.640000, 16.000000, 0.030983, 0.558140
0.650000, 16.000000, 0.039847, 0.558140
0.660000, 16.000000, 0.039790, 0.558140
0.670000, 16.000000, 0.073226, 0.534884
0.680000, 16.000000, 0.068958, 0.534884
0.690000, 15.000000, 0.038357, 0.534884
0.700000, 15.000000, 0.031795, 0.534884
0.710000, 15.000000, 0.031347, 0.534884
0.720000, 15.000000, 0.042366, 0.511628
0.730000, 14.000000, 0.033219, 0.511628
0.740000, 14.000000, 0.037052, 0.511628
0.750000, 13.000000, 0.044061, 0.511628
0.760000, 13.000000, 0.042152, 0.511628
0.770000, 12.000000, 0.043589, 0.511628
0.780000, 12.000000, 0.037135, 0.511628
0.790000, 13.000000, 0.032441, 0.534884
0.800000, 12.000000, 0.033853, 0.348837
0.810000, 12.000000, 0.037969, 0.441860
0.820000, 12.000000, 0.030973, 0.465116
0.830000, 12.000000, 0.033136, 0.511628
0.840000, 12.000000, 0.035935, 0.534884
0.850000, 12.000000, 0.032768, 0.534884
0.860000, 12.000000, 0.029905, 0.534884
0.870000, 12.000000, 0.027290, 0.534884
0.880000, 11.000000, 0.027552, 0.534884
0.890000, 10.000000, 0.025930, 0.534884
0.900000, 10.000000, 0.025001, 0.534884
0.910000, 10.000000, 0.026908, 0.534884
0.920000, 9.000000, 0.026450, 0.558140
0.930000, 9.000000, 0.026531, 0.558140
0.940000, 9.000000, 0.026093, 0.558140
0.950000, 9.000000, 0.041948, 0.558140
0.960000, 9.000000, 0.038167, 0.558140
0.970000, 9.000000, 0.039807, 0.558140
0.980000, 8.000000, 0.057870, 0.558140
0.990000, 8.000000, 0.043185, 0.558140
