teta, No hyperboxes, Training time, Testing error
0.010000, 216.000000, 0.105063, 0.203704
0.020000, 216.000000, 0.105469, 0.203704
0.030000, 216.000000, 0.104368, 0.203704
0.040000, 216.000000, 0.102982, 0.203704
0.050000, 216.000000, 0.109722, 0.203704
0.060000, 216.000000, 0.106223, 0.203704
0.070000, 215.000000, 0.103612, 0.203704
0.080000, 214.000000, 0.108087, 0.203704
0.090000, 214.000000, 0.119229, 0.203704
0.100000, 212.000000, 0.109380, 0.203704
0.110000, 212.000000, 0.102537, 0.203704
0.120000, 212.000000, 0.126964, 0.203704
0.130000, 210.000000, 0.143956, 0.203704
0.140000, 210.000000, 0.104464, 0.203704
0.150000, 208.000000, 0.120343, 0.203704
0.160000, 208.000000, 0.120464, 0.203704
0.170000, 205.000000, 0.114048, 0.203704
0.180000, 201.000000, 0.135071, 0.203704
0.190000, 201.000000, 0.139981, 0.203704
0.200000, 200.000000, 0.139671, 0.203704
0.210000, 196.000000, 0.125858, 0.203704
0.220000, 195.000000, 0.128524, 0.203704
0.230000, 189.000000, 0.160408, 0.203704
0.240000, 187.000000, 0.153361, 0.203704
0.250000, 182.000000, 0.149772, 0.203704
0.260000, 180.000000, 0.174412, 0.203704
0.270000, 178.000000, 0.136079, 0.203704
0.280000, 177.000000, 0.170320, 0.203704
0.290000, 177.000000, 0.132805, 0.203704
0.300000, 176.000000, 0.144800, 0.203704
0.310000, 175.000000, 0.148136, 0.203704
0.320000, 174.000000, 0.130378, 0.203704
0.330000, 174.000000, 0.135928, 0.203704
0.340000, 138.000000, 0.147742, 0.185185
0.350000, 138.000000, 0.139217, 0.185185
0.360000, 133.000000, 0.141806, 0.166667
0.370000, 133.000000, 0.156079, 0.166667
0.380000, 134.000000, 0.162200, 0.166667
0.390000, 132.000000, 0.136646, 0.166667
0.400000, 130.000000, 0.152286, 0.166667
0.410000, 130.000000, 0.133476, 0.166667
0.420000, 125.000000, 0.136462, 0.166667
0.430000, 125.000000, 0.148313, 0.166667
0.440000, 125.000000, 0.134968, 0.166667
0.450000, 124.000000, 0.136392, 0.166667
0.460000, 125.000000, 0.149053, 0.166667
0.470000, 125.000000, 0.149583, 0.166667
0.480000, 123.000000, 0.145755, 0.166667
0.490000, 122.000000, 0.143592, 0.166667
0.500000, 94.000000, 0.132774, 0.203704
0.510000, 94.000000, 0.141239, 0.203704
0.520000, 92.000000, 0.130463, 0.203704
0.530000, 92.000000, 0.127630, 0.203704
0.540000, 92.000000, 0.130730, 0.203704
0.550000, 91.000000, 0.122491, 0.203704
0.560000, 91.000000, 0.123183, 0.203704
0.570000, 88.000000, 0.122759, 0.166667
0.580000, 88.000000, 0.135760, 0.166667
0.590000, 86.000000, 0.119646, 0.185185
0.600000, 86.000000, 0.122687, 0.185185
0.610000, 86.000000, 0.143452, 0.185185
0.620000, 86.000000, 0.143870, 0.185185
0.630000, 86.000000, 0.119478, 0.185185
0.640000, 86.000000, 0.123646, 0.185185
0.650000, 86.000000, 0.123821, 0.203704
0.660000, 86.000000, 0.166118, 0.203704
0.670000, 69.000000, 0.113744, 0.129630
0.680000, 65.000000, 0.092644, 0.148148
0.690000, 64.000000, 0.090555, 0.148148
0.700000, 64.000000, 0.091611, 0.148148
0.710000, 64.000000, 0.091935, 0.148148
0.720000, 64.000000, 0.091737, 0.148148
0.730000, 64.000000, 0.096734, 0.148148
0.740000, 64.000000, 0.097492, 0.148148
0.750000, 64.000000, 0.120522, 0.166667
0.760000, 64.000000, 0.088625, 0.166667
0.770000, 64.000000, 0.091521, 0.166667
0.780000, 62.000000, 0.087964, 0.129630
0.790000, 62.000000, 0.089247, 0.129630
0.800000, 62.000000, 0.088285, 0.129630
0.810000, 62.000000, 0.087736, 0.129630
0.820000, 62.000000, 0.087320, 0.129630
0.830000, 62.000000, 0.094724, 0.129630
0.840000, 61.000000, 0.092672, 0.129630
0.850000, 61.000000, 0.087677, 0.129630
0.860000, 61.000000, 0.087902, 0.148148
0.870000, 61.000000, 0.089741, 0.148148
0.880000, 61.000000, 0.087575, 0.148148
0.890000, 61.000000, 0.087797, 0.148148
0.900000, 61.000000, 0.096625, 0.148148
0.910000, 61.000000, 0.099292, 0.148148
0.920000, 61.000000, 0.086177, 0.148148
0.930000, 61.000000, 0.087758, 0.148148
0.940000, 61.000000, 0.108783, 0.148148
0.950000, 61.000000, 0.085165, 0.148148
0.960000, 61.000000, 0.088538, 0.148148
0.970000, 61.000000, 0.099518, 0.148148
0.980000, 61.000000, 0.102936, 0.148148
0.990000, 61.000000, 0.093877, 0.148148
