teta, No hyperboxes, Training time, Testing error
0.010000, 216.000000, 0.231471, 0.203704
0.020000, 216.000000, 0.165088, 0.203704
0.030000, 216.000000, 0.180181, 0.203704
0.040000, 216.000000, 0.198731, 0.203704
0.050000, 216.000000, 0.187541, 0.203704
0.060000, 216.000000, 0.193524, 0.203704
0.070000, 215.000000, 0.185155, 0.203704
0.080000, 214.000000, 0.190554, 0.203704
0.090000, 214.000000, 0.190947, 0.203704
0.100000, 212.000000, 0.200539, 0.203704
0.110000, 212.000000, 0.162528, 0.203704
0.120000, 212.000000, 0.154207, 0.203704
0.130000, 210.000000, 0.179600, 0.203704
0.140000, 210.000000, 0.186919, 0.203704
0.150000, 208.000000, 0.164657, 0.203704
0.160000, 208.000000, 0.172085, 0.203704
0.170000, 205.000000, 0.179995, 0.203704
0.180000, 201.000000, 0.179803, 0.203704
0.190000, 201.000000, 0.179959, 0.203704
0.200000, 200.000000, 0.181518, 0.203704
0.210000, 196.000000, 0.176941, 0.203704
0.220000, 195.000000, 0.181427, 0.203704
0.230000, 189.000000, 0.182000, 0.203704
0.240000, 187.000000, 0.180632, 0.203704
0.250000, 182.000000, 0.181533, 0.203704
0.260000, 180.000000, 0.193050, 0.203704
0.270000, 178.000000, 0.176687, 0.203704
0.280000, 177.000000, 0.172074, 0.203704
0.290000, 177.000000, 0.180325, 0.203704
0.300000, 176.000000, 0.186269, 0.203704
0.310000, 175.000000, 0.181855, 0.203704
0.320000, 174.000000, 0.176055, 0.203704
0.330000, 174.000000, 0.187040, 0.203704
0.340000, 138.000000, 0.174534, 0.185185
0.350000, 138.000000, 0.177078, 0.185185
0.360000, 133.000000, 0.177888, 0.166667
0.370000, 133.000000, 0.178122, 0.166667
0.380000, 134.000000, 0.173728, 0.166667
0.390000, 132.000000, 0.175119, 0.166667
0.400000, 130.000000, 0.177935, 0.166667
0.410000, 130.000000, 0.174746, 0.166667
0.420000, 125.000000, 0.198260, 0.166667
0.430000, 125.000000, 0.171720, 0.166667
0.440000, 125.000000, 0.190231, 0.166667
0.450000, 124.000000, 0.189672, 0.166667
0.460000, 125.000000, 0.175660, 0.166667
0.470000, 125.000000, 0.171537, 0.166667
0.480000, 123.000000, 0.174099, 0.166667
0.490000, 122.000000, 0.200935, 0.166667
0.500000, 94.000000, 0.149980, 0.203704
0.510000, 94.000000, 0.154560, 0.203704
0.520000, 92.000000, 0.157035, 0.203704
0.530000, 92.000000, 0.152532, 0.203704
0.540000, 92.000000, 0.152980, 0.203704
0.550000, 91.000000, 0.135654, 0.203704
0.560000, 91.000000, 0.142552, 0.203704
0.570000, 88.000000, 0.143970, 0.166667
0.580000, 88.000000, 0.148543, 0.166667
0.590000, 86.000000, 0.151026, 0.185185
0.600000, 86.000000, 0.143326, 0.185185
0.610000, 86.000000, 0.146088, 0.185185
0.620000, 86.000000, 0.131945, 0.185185
0.630000, 86.000000, 0.139781, 0.185185
0.640000, 86.000000, 0.142655, 0.185185
0.650000, 86.000000, 0.152044, 0.203704
0.660000, 86.000000, 0.137984, 0.203704
0.670000, 69.000000, 0.103571, 0.129630
0.680000, 65.000000, 0.105382, 0.148148
0.690000, 64.000000, 0.101919, 0.148148
0.700000, 64.000000, 0.098229, 0.148148
0.710000, 64.000000, 0.097698, 0.148148
0.720000, 64.000000, 0.102440, 0.148148
0.730000, 64.000000, 0.115698, 0.148148
0.740000, 64.000000, 0.101293, 0.148148
0.750000, 64.000000, 0.101381, 0.166667
0.760000, 64.000000, 0.100732, 0.166667
0.770000, 64.000000, 0.103518, 0.166667
0.780000, 62.000000, 0.097490, 0.129630
0.790000, 62.000000, 0.097152, 0.129630
0.800000, 62.000000, 0.097421, 0.129630
0.810000, 62.000000, 0.097416, 0.129630
0.820000, 62.000000, 0.097665, 0.129630
0.830000, 62.000000, 0.098727, 0.129630
0.840000, 61.000000, 0.100028, 0.129630
0.850000, 61.000000, 0.105633, 0.129630
0.860000, 61.000000, 0.100427, 0.148148
0.870000, 61.000000, 0.093475, 0.148148
0.880000, 61.000000, 0.094054, 0.148148
0.890000, 61.000000, 0.095639, 0.148148
0.900000, 61.000000, 0.092746, 0.148148
0.910000, 61.000000, 0.092425, 0.148148
0.920000, 61.000000, 0.094196, 0.148148
0.930000, 61.000000, 0.091338, 0.148148
0.940000, 61.000000, 0.091478, 0.148148
0.950000, 61.000000, 0.103396, 0.148148
0.960000, 61.000000, 0.093316, 0.148148
0.970000, 61.000000, 0.091620, 0.148148
0.980000, 61.000000, 0.098812, 0.148148
0.990000, 61.000000, 0.096678, 0.148148
