teta, No hyperboxes, Training time, Testing error
0.010000, 280.000000, 0.253092, 0.128571
0.020000, 280.000000, 0.222042, 0.128571
0.030000, 278.000000, 0.190302, 0.128571
0.040000, 274.000000, 0.197797, 0.128571
0.050000, 271.000000, 0.210815, 0.128571
0.060000, 262.000000, 0.219095, 0.128571
0.070000, 254.000000, 0.265776, 0.128571
0.080000, 247.000000, 0.263403, 0.128571
0.090000, 241.000000, 0.263083, 0.128571
0.100000, 232.000000, 0.312602, 0.114286
0.110000, 226.000000, 0.274848, 0.114286
0.120000, 219.000000, 0.323868, 0.114286
0.130000, 211.000000, 0.307674, 0.114286
0.140000, 204.000000, 0.392267, 0.114286
0.150000, 199.000000, 0.330405, 0.100000
0.160000, 193.000000, 0.325736, 0.100000
0.170000, 188.000000, 0.350251, 0.100000
0.180000, 182.000000, 0.319955, 0.114286
0.190000, 179.000000, 0.330416, 0.114286
0.200000, 170.000000, 0.320014, 0.114286
0.210000, 162.000000, 0.335162, 0.114286
0.220000, 162.000000, 0.318895, 0.114286
0.230000, 159.000000, 0.319032, 0.114286
0.240000, 157.000000, 0.322423, 0.142857
0.250000, 152.000000, 0.318923, 0.142857
0.260000, 152.000000, 0.316708, 0.142857
0.270000, 147.000000, 0.328168, 0.142857
0.280000, 145.000000, 0.330329, 0.142857
0.290000, 140.000000, 0.320021, 0.142857
0.300000, 139.000000, 0.321050, 0.157143
0.310000, 139.000000, 0.327935, 0.157143
0.320000, 135.000000, 0.298361, 0.128571
0.330000, 135.000000, 0.297668, 0.128571
0.340000, 133.000000, 0.293561, 0.128571
0.350000, 129.000000, 0.288990, 0.128571
0.360000, 127.000000, 0.277011, 0.128571
0.370000, 127.000000, 0.280432, 0.128571
0.380000, 124.000000, 0.278716, 0.128571
0.390000, 121.000000, 0.262231, 0.128571
0.400000, 117.000000, 0.290045, 0.128571
0.410000, 115.000000, 0.261555, 0.157143
0.420000, 115.000000, 0.258762, 0.128571
0.430000, 112.000000, 0.253950, 0.128571
0.440000, 113.000000, 0.276751, 0.142857
0.450000, 111.000000, 0.280272, 0.128571
0.460000, 108.000000, 0.256872, 0.128571
0.470000, 106.000000, 0.246073, 0.114286
0.480000, 105.000000, 0.255082, 0.114286
0.490000, 104.000000, 0.244877, 0.114286
0.500000, 92.000000, 0.225784, 0.142857
0.510000, 89.000000, 0.240681, 0.157143
0.520000, 86.000000, 0.217444, 0.142857
0.530000, 85.000000, 0.214162, 0.142857
0.540000, 82.000000, 0.288182, 0.142857
0.550000, 81.000000, 0.206914, 0.142857
0.560000, 81.000000, 0.200119, 0.142857
0.570000, 78.000000, 0.187167, 0.100000
0.580000, 79.000000, 0.183946, 0.100000
0.590000, 78.000000, 0.181039, 0.114286
0.600000, 76.000000, 0.180658, 0.114286
0.610000, 75.000000, 0.193507, 0.100000
0.620000, 73.000000, 0.162857, 0.114286
0.630000, 73.000000, 0.169700, 0.128571
0.640000, 72.000000, 0.162634, 0.114286
0.650000, 72.000000, 0.167100, 0.114286
0.660000, 71.000000, 0.170751, 0.128571
0.670000, 70.000000, 0.178016, 0.128571
0.680000, 71.000000, 0.163663, 0.100000
0.690000, 71.000000, 0.162831, 0.114286
0.700000, 70.000000, 0.166665, 0.114286
0.710000, 68.000000, 0.180927, 0.114286
0.720000, 68.000000, 0.162216, 0.114286
0.730000, 65.000000, 0.187343, 0.114286
0.740000, 65.000000, 0.193115, 0.114286
0.750000, 65.000000, 0.144835, 0.114286
0.760000, 64.000000, 0.148151, 0.128571
0.770000, 64.000000, 0.165977, 0.128571
0.780000, 65.000000, 0.176284, 0.114286
0.790000, 64.000000, 0.141267, 0.114286
0.800000, 66.000000, 0.147211, 0.128571
0.810000, 65.000000, 0.147813, 0.128571
0.820000, 62.000000, 0.129255, 0.157143
0.830000, 62.000000, 0.152039, 0.157143
0.840000, 61.000000, 0.158172, 0.157143
0.850000, 60.000000, 0.130397, 0.171429
0.860000, 59.000000, 0.124624, 0.085714
0.870000, 59.000000, 0.137869, 0.071429
0.880000, 58.000000, 0.139189, 0.071429
0.890000, 57.000000, 0.130233, 0.085714
0.900000, 54.000000, 0.143232, 0.085714
0.910000, 54.000000, 0.144368, 0.100000
0.920000, 54.000000, 0.157450, 0.100000
0.930000, 53.000000, 0.193961, 0.100000
0.940000, 53.000000, 0.160519, 0.085714
0.950000, 52.000000, 0.198122, 0.057143
0.960000, 52.000000, 0.168660, 0.100000
0.970000, 51.000000, 0.217032, 0.085714
0.980000, 51.000000, 0.184579, 0.085714
0.990000, 50.000000, 0.151032, 0.100000
