teta, No hyperboxes, Training time, Testing error
0.010000, 117.000000, 0.025083, 0.100000
0.020000, 117.000000, 0.025689, 0.100000
0.030000, 111.000000, 0.027406, 0.100000
0.040000, 110.000000, 0.040384, 0.100000
0.050000, 91.000000, 0.059516, 0.100000
0.060000, 84.000000, 0.038759, 0.100000
0.070000, 81.000000, 0.037586, 0.100000
0.080000, 81.000000, 0.037599, 0.100000
0.090000, 56.000000, 0.034135, 0.100000
0.100000, 56.000000, 0.033748, 0.100000
0.110000, 51.000000, 0.031990, 0.100000
0.120000, 47.000000, 0.032644, 0.100000
0.130000, 40.000000, 0.030516, 0.100000
0.140000, 36.000000, 0.027592, 0.100000
0.150000, 36.000000, 0.028019, 0.100000
0.160000, 35.000000, 0.027361, 0.100000
0.170000, 28.000000, 0.021356, 0.100000
0.180000, 28.000000, 0.034705, 0.100000
0.190000, 28.000000, 0.021359, 0.100000
0.200000, 24.000000, 0.017413, 0.100000
0.210000, 22.000000, 0.017657, 0.100000
0.220000, 22.000000, 0.025139, 0.100000
0.230000, 22.000000, 0.015607, 0.100000
0.240000, 22.000000, 0.016059, 0.100000
0.250000, 18.000000, 0.015416, 0.100000
0.260000, 17.000000, 0.013766, 0.100000
0.270000, 17.000000, 0.013834, 0.100000
0.280000, 16.000000, 0.014213, 0.100000
0.290000, 17.000000, 0.014725, 0.100000
0.300000, 13.000000, 0.013986, 0.100000
0.310000, 12.000000, 0.014501, 0.100000
0.320000, 12.000000, 0.016368, 0.100000
0.330000, 12.000000, 0.020867, 0.100000
0.340000, 13.000000, 0.012183, 0.100000
0.350000, 13.000000, 0.011228, 0.100000
0.360000, 13.000000, 0.011250, 0.100000
0.370000, 13.000000, 0.010825, 0.100000
0.380000, 11.000000, 0.011796, 0.066667
0.390000, 10.000000, 0.011501, 0.066667
0.400000, 10.000000, 0.011461, 0.066667
0.410000, 10.000000, 0.011177, 0.066667
0.420000, 9.000000, 0.009322, 0.066667
0.430000, 9.000000, 0.009474, 0.066667
0.440000, 9.000000, 0.009605, 0.066667
0.450000, 9.000000, 0.009483, 0.066667
0.460000, 8.000000, 0.009120, 0.066667
0.470000, 8.000000, 0.009610, 0.066667
0.480000, 8.000000, 0.009391, 0.066667
0.490000, 8.000000, 0.008883, 0.066667
0.500000, 8.000000, 0.009072, 0.066667
0.510000, 8.000000, 0.009473, 0.066667
0.520000, 8.000000, 0.009456, 0.066667
0.530000, 7.000000, 0.008295, 0.066667
0.540000, 7.000000, 0.008792, 0.066667
0.550000, 7.000000, 0.008522, 0.066667
0.560000, 7.000000, 0.007893, 0.066667
0.570000, 7.000000, 0.008824, 0.066667
0.580000, 7.000000, 0.007964, 0.066667
0.590000, 6.000000, 0.007424, 0.066667
0.600000, 6.000000, 0.007611, 0.066667
0.610000, 6.000000, 0.007232, 0.066667
0.620000, 6.000000, 0.007507, 0.066667
0.630000, 6.000000, 0.007290, 0.066667
0.640000, 5.000000, 0.007350, 0.066667
0.650000, 5.000000, 0.007483, 0.066667
0.660000, 5.000000, 0.007105, 0.066667
0.670000, 5.000000, 0.007475, 0.066667
0.680000, 5.000000, 0.007383, 0.066667
0.690000, 5.000000, 0.007073, 0.066667
0.700000, 5.000000, 0.007265, 0.066667
0.710000, 5.000000, 0.006891, 0.066667
0.720000, 5.000000, 0.007367, 0.066667
0.730000, 5.000000, 0.007205, 0.066667
0.740000, 5.000000, 0.007080, 0.066667
0.750000, 5.000000, 0.007474, 0.066667
0.760000, 5.000000, 0.007136, 0.066667
0.770000, 5.000000, 0.007777, 0.066667
0.780000, 5.000000, 0.007184, 0.066667
0.790000, 5.000000, 0.007159, 0.066667
0.800000, 5.000000, 0.007568, 0.066667
0.810000, 5.000000, 0.007107, 0.066667
0.820000, 5.000000, 0.008108, 0.066667
0.830000, 5.000000, 0.007126, 0.066667
0.840000, 4.000000, 0.007263, 0.066667
0.850000, 4.000000, 0.007433, 0.066667
0.860000, 4.000000, 0.006983, 0.066667
0.870000, 4.000000, 0.007350, 0.066667
0.880000, 3.000000, 0.006383, 0.066667
0.890000, 3.000000, 0.006564, 0.066667
0.900000, 3.000000, 0.006334, 0.066667
0.910000, 3.000000, 0.006465, 0.066667
0.920000, 3.000000, 0.006418, 0.066667
0.930000, 3.000000, 0.006341, 0.066667
0.940000, 3.000000, 0.006630, 0.066667
0.950000, 3.000000, 0.006340, 0.066667
0.960000, 3.000000, 0.006509, 0.066667
0.970000, 3.000000, 0.006308, 0.066667
0.980000, 3.000000, 0.006895, 0.066667
0.990000, 3.000000, 0.006528, 0.066667
