teta, No hyperboxes, Training time, Testing error
0.010000, 117.000000, 0.056113, 0.100000
0.020000, 117.000000, 0.056273, 0.100000
0.030000, 111.000000, 0.051460, 0.100000
0.040000, 110.000000, 0.051882, 0.100000
0.050000, 91.000000, 0.051149, 0.100000
0.060000, 84.000000, 0.054489, 0.100000
0.070000, 81.000000, 0.053823, 0.100000
0.080000, 81.000000, 0.054642, 0.100000
0.090000, 56.000000, 0.043641, 0.100000
0.100000, 56.000000, 0.045286, 0.100000
0.110000, 51.000000, 0.041664, 0.100000
0.120000, 47.000000, 0.040410, 0.100000
0.130000, 40.000000, 0.037188, 0.100000
0.140000, 36.000000, 0.033644, 0.100000
0.150000, 36.000000, 0.034931, 0.100000
0.160000, 35.000000, 0.034555, 0.100000
0.170000, 28.000000, 0.028352, 0.100000
0.180000, 28.000000, 0.028439, 0.100000
0.190000, 28.000000, 0.027417, 0.100000
0.200000, 24.000000, 0.025429, 0.100000
0.210000, 22.000000, 0.024799, 0.100000
0.220000, 22.000000, 0.023405, 0.100000
0.230000, 22.000000, 0.022238, 0.100000
0.240000, 22.000000, 0.021505, 0.100000
0.250000, 18.000000, 0.023458, 0.100000
0.260000, 17.000000, 0.020537, 0.100000
0.270000, 17.000000, 0.020230, 0.100000
0.280000, 16.000000, 0.019895, 0.100000
0.290000, 17.000000, 0.020368, 0.100000
0.300000, 13.000000, 0.019372, 0.100000
0.310000, 12.000000, 0.018905, 0.100000
0.320000, 12.000000, 0.019737, 0.100000
0.330000, 12.000000, 0.019895, 0.100000
0.340000, 13.000000, 0.017968, 0.100000
0.350000, 13.000000, 0.017988, 0.100000
0.360000, 13.000000, 0.018038, 0.100000
0.370000, 13.000000, 0.017473, 0.100000
0.380000, 11.000000, 0.018227, 0.066667
0.390000, 10.000000, 0.018313, 0.066667
0.400000, 10.000000, 0.017775, 0.066667
0.410000, 10.000000, 0.016848, 0.066667
0.420000, 9.000000, 0.015411, 0.066667
0.430000, 9.000000, 0.015296, 0.066667
0.440000, 9.000000, 0.015504, 0.066667
0.450000, 9.000000, 0.015447, 0.066667
0.460000, 8.000000, 0.015407, 0.066667
0.470000, 8.000000, 0.015094, 0.066667
0.480000, 8.000000, 0.015852, 0.066667
0.490000, 8.000000, 0.015124, 0.066667
0.500000, 8.000000, 0.015217, 0.066667
0.510000, 8.000000, 0.015620, 0.066667
0.520000, 8.000000, 0.015896, 0.066667
0.530000, 7.000000, 0.014635, 0.066667
0.540000, 7.000000, 0.014811, 0.066667
0.550000, 7.000000, 0.015317, 0.066667
0.560000, 7.000000, 0.014719, 0.066667
0.570000, 7.000000, 0.014143, 0.066667
0.580000, 7.000000, 0.014279, 0.066667
0.590000, 6.000000, 0.013956, 0.066667
0.600000, 6.000000, 0.013386, 0.066667
0.610000, 6.000000, 0.013347, 0.066667
0.620000, 6.000000, 0.013424, 0.066667
0.630000, 6.000000, 0.013769, 0.066667
0.640000, 5.000000, 0.013324, 0.066667
0.650000, 5.000000, 0.013324, 0.066667
0.660000, 5.000000, 0.013495, 0.066667
0.670000, 5.000000, 0.014794, 0.066667
0.680000, 5.000000, 0.016396, 0.066667
0.690000, 5.000000, 0.015109, 0.066667
0.700000, 5.000000, 0.014441, 0.066667
0.710000, 5.000000, 0.014309, 0.066667
0.720000, 5.000000, 0.013600, 0.066667
0.730000, 5.000000, 0.012928, 0.066667
0.740000, 5.000000, 0.013662, 0.066667
0.750000, 5.000000, 0.013606, 0.066667
0.760000, 5.000000, 0.013871, 0.066667
0.770000, 5.000000, 0.013748, 0.066667
0.780000, 5.000000, 0.014446, 0.066667
0.790000, 5.000000, 0.014292, 0.066667
0.800000, 5.000000, 0.016371, 0.066667
0.810000, 5.000000, 0.017120, 0.066667
0.820000, 5.000000, 0.014811, 0.066667
0.830000, 5.000000, 0.015669, 0.066667
0.840000, 4.000000, 0.014264, 0.066667
0.850000, 4.000000, 0.014680, 0.066667
0.860000, 4.000000, 0.014506, 0.066667
0.870000, 4.000000, 0.014677, 0.066667
0.880000, 3.000000, 0.013801, 0.066667
0.890000, 3.000000, 0.014016, 0.066667
0.900000, 3.000000, 0.013166, 0.066667
0.910000, 3.000000, 0.012433, 0.066667
0.920000, 3.000000, 0.013248, 0.066667
0.930000, 3.000000, 0.012658, 0.066667
0.940000, 3.000000, 0.013786, 0.066667
0.950000, 3.000000, 0.013891, 0.066667
0.960000, 3.000000, 0.015494, 0.066667
0.970000, 3.000000, 0.015011, 0.066667
0.980000, 3.000000, 0.013070, 0.066667
0.990000, 3.000000, 0.013268, 0.066667
