teta, No hyperboxes, Training time, Testing error
0.010000, 5920.000000, 88.596183, 0.287162
0.020000, 5920.000000, 81.961799, 0.287162
0.030000, 5920.000000, 79.124421, 0.287162
0.040000, 5920.000000, 90.661471, 0.287162
0.050000, 5920.000000, 84.362503, 0.287162
0.060000, 5920.000000, 82.379729, 0.287162
0.070000, 5912.000000, 83.238337, 0.287162
0.080000, 5848.000000, 89.415112, 0.295270
0.090000, 5692.000000, 96.922387, 0.307432
0.100000, 5360.000000, 111.951495, 0.331081
0.110000, 4999.000000, 120.310160, 0.364865
0.120000, 4661.000000, 136.294519, 0.386486
0.130000, 4364.000000, 149.058478, 0.410811
0.140000, 4100.000000, 156.214247, 0.419595
0.150000, 3891.000000, 162.907222, 0.431081
0.160000, 3673.000000, 167.325532, 0.429730
0.170000, 3475.000000, 168.298928, 0.422297
0.180000, 3243.000000, 169.737682, 0.410135
0.190000, 2984.000000, 163.786937, 0.398649
0.200000, 2727.000000, 158.851970, 0.383108
0.210000, 2484.000000, 144.141437, 0.368243
0.220000, 2233.000000, 129.393956, 0.355405
0.230000, 2030.000000, 116.204221, 0.347297
0.240000, 1827.000000, 101.262237, 0.334459
0.250000, 1638.000000, 90.840695, 0.312162
0.260000, 1480.000000, 79.432003, 0.285135
0.270000, 1352.000000, 71.074775, 0.254054
0.280000, 1221.000000, 65.789792, 0.216216
0.290000, 1094.000000, 57.228247, 0.202027
0.300000, 989.000000, 52.537172, 0.158108
0.310000, 893.000000, 50.496351, 0.142568
0.320000, 818.000000, 46.257277, 0.130405
0.330000, 738.000000, 40.550400, 0.122973
0.340000, 649.000000, 37.694834, 0.093919
0.350000, 596.000000, 35.122650, 0.110135
0.360000, 535.000000, 32.881494, 0.102027
0.370000, 483.000000, 32.155802, 0.118919
0.380000, 433.000000, 29.487427, 0.087838
0.390000, 385.000000, 27.587861, 0.095270
0.400000, 346.000000, 26.503751, 0.108784
0.410000, 308.000000, 22.067393, 0.106081
0.420000, 279.000000, 21.622949, 0.107432
0.430000, 249.000000, 19.493026, 0.109459
0.440000, 222.000000, 17.645847, 0.104730
0.450000, 196.000000, 14.574862, 0.090541
0.460000, 177.000000, 12.958061, 0.095946
0.470000, 161.000000, 12.533776, 0.099324
0.480000, 144.000000, 10.588448, 0.087162
0.490000, 126.000000, 8.732970, 0.120270
0.500000, 113.000000, 7.579290, 0.098649
0.510000, 101.000000, 6.444670, 0.101351
0.520000, 91.000000, 5.727025, 0.104730
0.530000, 80.000000, 5.020048, 0.115541
0.540000, 74.000000, 4.577865, 0.113514
0.550000, 66.000000, 3.527762, 0.110135
0.560000, 57.000000, 3.107862, 0.120270
0.570000, 53.000000, 2.804648, 0.103378
0.580000, 50.000000, 2.749186, 0.118243
0.590000, 44.000000, 2.182354, 0.103378
0.600000, 40.000000, 1.928227, 0.140541
0.610000, 33.000000, 1.678153, 0.141892
0.620000, 32.000000, 1.433106, 0.131081
0.630000, 29.000000, 1.257910, 0.154730
0.640000, 25.000000, 1.096825, 0.141216
0.650000, 23.000000, 0.985458, 0.154054
0.660000, 21.000000, 0.911004, 0.146622
0.670000, 20.000000, 0.822448, 0.142568
0.680000, 19.000000, 0.719797, 0.155405
0.690000, 18.000000, 0.743744, 0.153378
0.700000, 15.000000, 0.618420, 0.150676
0.710000, 14.000000, 0.559399, 0.174324
0.720000, 14.000000, 0.580569, 0.177703
0.730000, 13.000000, 0.501964, 0.189189
0.740000, 11.000000, 0.519268, 0.191892
0.750000, 10.000000, 0.443406, 0.204730
0.760000, 10.000000, 0.437651, 0.206081
0.770000, 9.000000, 0.474049, 0.186486
0.780000, 8.000000, 0.400602, 0.217568
0.790000, 8.000000, 0.377131, 0.210811
0.800000, 8.000000, 0.377880, 0.243919
0.810000, 7.000000, 0.353007, 0.241216
0.820000, 7.000000, 0.330282, 0.234459
0.830000, 6.000000, 0.311817, 0.240541
0.840000, 7.000000, 0.328177, 0.266892
0.850000, 6.000000, 0.319927, 0.283784
0.860000, 5.000000, 0.320260, 0.300676
0.870000, 5.000000, 0.318465, 0.285811
0.880000, 5.000000, 0.302631, 0.292568
0.890000, 4.000000, 0.287700, 0.300000
0.900000, 4.000000, 0.288532, 0.270946
0.910000, 5.000000, 0.288282, 0.277703
0.920000, 4.000000, 0.312129, 0.286486
0.930000, 4.000000, 0.307619, 0.314865
0.940000, 4.000000, 0.278659, 0.310135
0.950000, 4.000000, 0.283979, 0.283784
0.960000, 4.000000, 0.280317, 0.288514
0.970000, 3.000000, 0.261388, 0.297973
0.980000, 3.000000, 0.276249, 0.318919
0.990000, 3.000000, 0.270986, 0.329730
