teta, No hyperboxes, Training time, Testing error
0.010000, 5920.000000, 146.504746, 0.287162
0.020000, 5920.000000, 140.478789, 0.287162
0.030000, 5920.000000, 132.663390, 0.287162
0.040000, 5920.000000, 145.392340, 0.287162
0.050000, 5920.000000, 139.037488, 0.287162
0.060000, 5920.000000, 138.874891, 0.287162
0.070000, 5912.000000, 135.638706, 0.287162
0.080000, 5848.000000, 147.025333, 0.295270
0.090000, 5692.000000, 141.948202, 0.307432
0.100000, 5360.000000, 160.709961, 0.331081
0.110000, 4999.000000, 151.425824, 0.364865
0.120000, 4661.000000, 155.408056, 0.386486
0.130000, 4364.000000, 154.676869, 0.410811
0.140000, 4100.000000, 161.897907, 0.419595
0.150000, 3891.000000, 169.971419, 0.431081
0.160000, 3673.000000, 163.540783, 0.429730
0.170000, 3475.000000, 161.190277, 0.422297
0.180000, 3243.000000, 155.100952, 0.410135
0.190000, 2984.000000, 146.336920, 0.398649
0.200000, 2727.000000, 141.428121, 0.383108
0.210000, 2484.000000, 135.953151, 0.368243
0.220000, 2233.000000, 117.291407, 0.355405
0.230000, 2030.000000, 105.512621, 0.347297
0.240000, 1827.000000, 91.739073, 0.334459
0.250000, 1638.000000, 82.283162, 0.312162
0.260000, 1480.000000, 70.841943, 0.285135
0.270000, 1352.000000, 63.226619, 0.254054
0.280000, 1221.000000, 57.829653, 0.216216
0.290000, 1094.000000, 50.891008, 0.202027
0.300000, 989.000000, 47.112294, 0.158108
0.310000, 893.000000, 43.440353, 0.142568
0.320000, 818.000000, 39.459188, 0.130405
0.330000, 738.000000, 36.434931, 0.122973
0.340000, 649.000000, 33.394609, 0.093919
0.350000, 596.000000, 30.853598, 0.110135
0.360000, 535.000000, 29.619293, 0.102027
0.370000, 483.000000, 28.887906, 0.118919
0.380000, 433.000000, 25.577997, 0.087838
0.390000, 385.000000, 24.604163, 0.095270
0.400000, 346.000000, 23.390506, 0.108784
0.410000, 308.000000, 19.886306, 0.106081
0.420000, 279.000000, 19.307105, 0.107432
0.430000, 249.000000, 17.632890, 0.109459
0.440000, 222.000000, 15.918678, 0.104730
0.450000, 196.000000, 13.502402, 0.090541
0.460000, 177.000000, 11.939657, 0.095946
0.470000, 161.000000, 11.039297, 0.099324
0.480000, 144.000000, 9.677883, 0.087162
0.490000, 126.000000, 8.206759, 0.120270
0.500000, 113.000000, 7.065004, 0.098649
0.510000, 101.000000, 6.333303, 0.101351
0.520000, 91.000000, 5.530024, 0.104730
0.530000, 80.000000, 4.824504, 0.115541
0.540000, 74.000000, 4.339577, 0.113514
0.550000, 66.000000, 3.515650, 0.110135
0.560000, 57.000000, 3.155637, 0.120270
0.570000, 53.000000, 2.818908, 0.103378
0.580000, 50.000000, 2.824808, 0.118243
0.590000, 44.000000, 2.379004, 0.103378
0.600000, 40.000000, 2.157945, 0.140541
0.610000, 33.000000, 1.840531, 0.141892
0.620000, 32.000000, 1.708003, 0.131081
0.630000, 29.000000, 1.528534, 0.154730
0.640000, 25.000000, 1.358064, 0.141216
0.650000, 23.000000, 1.256111, 0.154054
0.660000, 21.000000, 1.178531, 0.146622
0.670000, 20.000000, 1.128938, 0.142568
0.680000, 19.000000, 1.062070, 0.155405
0.690000, 18.000000, 1.025744, 0.153378
0.700000, 15.000000, 0.921782, 0.150676
0.710000, 14.000000, 0.892757, 0.174324
0.720000, 14.000000, 0.881085, 0.177703
0.730000, 13.000000, 0.825223, 0.189189
0.740000, 11.000000, 0.816372, 0.191892
0.750000, 10.000000, 0.796827, 0.204730
0.760000, 10.000000, 0.778272, 0.206081
0.770000, 9.000000, 0.737124, 0.186486
0.780000, 8.000000, 0.721690, 0.217568
0.790000, 8.000000, 0.719213, 0.210811
0.800000, 8.000000, 0.709071, 0.243919
0.810000, 7.000000, 0.677586, 0.241216
0.820000, 7.000000, 0.666443, 0.234459
0.830000, 6.000000, 0.662249, 0.240541
0.840000, 7.000000, 0.669129, 0.266892
0.850000, 6.000000, 0.656554, 0.283784
0.860000, 5.000000, 0.624787, 0.300676
0.870000, 5.000000, 0.631871, 0.285811
0.880000, 5.000000, 0.625213, 0.292568
0.890000, 4.000000, 0.611511, 0.300000
0.900000, 4.000000, 0.614758, 0.270946
0.910000, 5.000000, 0.620448, 0.277703
0.920000, 4.000000, 0.624218, 0.286486
0.930000, 4.000000, 0.617633, 0.314865
0.940000, 4.000000, 0.609223, 0.310135
0.950000, 4.000000, 0.615074, 0.283784
0.960000, 4.000000, 0.601853, 0.288514
0.970000, 3.000000, 0.615898, 0.297973
0.980000, 3.000000, 0.592513, 0.318919
0.990000, 3.000000, 0.591717, 0.329730
