teta, No hyperboxes, Training time, Testing error
0.010000, 1704.000000, 3.246068, 0.041126
0.020000, 1619.000000, 4.033793, 0.043290
0.030000, 1492.000000, 4.795218, 0.043290
0.040000, 1348.000000, 5.672775, 0.043290
0.050000, 1211.000000, 6.065681, 0.043290
0.060000, 1076.000000, 6.552171, 0.041126
0.070000, 979.000000, 6.744667, 0.041126
0.080000, 876.000000, 6.674344, 0.041126
0.090000, 782.000000, 6.529734, 0.043290
0.100000, 720.000000, 6.351299, 0.043290
0.110000, 665.000000, 6.384161, 0.041126
0.120000, 592.000000, 5.839112, 0.038961
0.130000, 521.000000, 5.479229, 0.043290
0.140000, 499.000000, 5.391487, 0.045455
0.150000, 464.000000, 5.008819, 0.034632
0.160000, 436.000000, 4.706225, 0.038961
0.170000, 401.000000, 4.529098, 0.056277
0.180000, 381.000000, 4.327996, 0.051948
0.190000, 350.000000, 3.941841, 0.051948
0.200000, 344.000000, 3.810991, 0.047619
0.210000, 307.000000, 3.419476, 0.049784
0.220000, 298.000000, 3.359974, 0.047619
0.230000, 281.000000, 3.094843, 0.041126
0.240000, 270.000000, 2.885443, 0.045455
0.250000, 256.000000, 2.780241, 0.038961
0.260000, 236.000000, 2.655979, 0.041126
0.270000, 223.000000, 2.435990, 0.045455
0.280000, 218.000000, 2.290193, 0.049784
0.290000, 211.000000, 2.277409, 0.045455
0.300000, 210.000000, 2.145908, 0.051948
0.310000, 195.000000, 2.015805, 0.036797
0.320000, 187.000000, 1.917737, 0.032468
0.330000, 181.000000, 1.770215, 0.028139
0.340000, 139.000000, 1.349675, 0.041126
0.350000, 132.000000, 1.266208, 0.043290
0.360000, 122.000000, 1.189782, 0.045455
0.370000, 114.000000, 1.071261, 0.038961
0.380000, 107.000000, 1.001164, 0.041126
0.390000, 105.000000, 0.976562, 0.049784
0.400000, 96.000000, 0.858513, 0.043290
0.410000, 93.000000, 0.807979, 0.041126
0.420000, 86.000000, 0.732423, 0.038961
0.430000, 82.000000, 0.713819, 0.038961
0.440000, 85.000000, 0.763833, 0.043290
0.450000, 83.000000, 0.743763, 0.045455
0.460000, 80.000000, 0.679810, 0.036797
0.470000, 78.000000, 0.653548, 0.028139
0.480000, 71.000000, 0.598298, 0.030303
0.490000, 70.000000, 0.611964, 0.034632
0.500000, 56.000000, 0.483269, 0.032468
0.510000, 56.000000, 0.472043, 0.038961
0.520000, 56.000000, 0.478826, 0.034632
0.530000, 51.000000, 0.428362, 0.045455
0.540000, 51.000000, 0.409257, 0.034632
0.550000, 52.000000, 0.417163, 0.032468
0.560000, 49.000000, 0.420839, 0.038961
0.570000, 46.000000, 0.374244, 0.036797
0.580000, 43.000000, 0.349773, 0.036797
0.590000, 44.000000, 0.352744, 0.045455
0.600000, 41.000000, 0.356107, 0.036797
0.610000, 42.000000, 0.364026, 0.034632
0.620000, 42.000000, 0.366038, 0.034632
0.630000, 40.000000, 0.362039, 0.038961
0.640000, 43.000000, 0.371700, 0.043290
0.650000, 42.000000, 0.341581, 0.036797
0.660000, 42.000000, 0.338642, 0.043290
0.670000, 34.000000, 0.297254, 0.043290
0.680000, 36.000000, 0.361480, 0.045455
0.690000, 36.000000, 0.312357, 0.047619
0.700000, 34.000000, 0.304066, 0.045455
0.710000, 34.000000, 0.299385, 0.045455
0.720000, 34.000000, 0.295242, 0.041126
0.730000, 34.000000, 0.304854, 0.045455
0.740000, 34.000000, 0.290098, 0.043290
0.750000, 34.000000, 0.286739, 0.054113
0.760000, 35.000000, 0.292158, 0.036797
0.770000, 34.000000, 0.281757, 0.041126
0.780000, 31.000000, 0.260621, 0.038961
0.790000, 28.000000, 0.253511, 0.038961
0.800000, 27.000000, 0.240322, 0.032468
0.810000, 26.000000, 0.237811, 0.036797
0.820000, 27.000000, 0.236464, 0.041126
0.830000, 27.000000, 0.263312, 0.043290
0.840000, 27.000000, 0.242991, 0.043290
0.850000, 26.000000, 0.205446, 0.043290
0.860000, 26.000000, 0.224600, 0.041126
0.870000, 27.000000, 0.204463, 0.045455
0.880000, 28.000000, 0.221791, 0.041126
0.890000, 27.000000, 0.200874, 0.041126
0.900000, 27.000000, 0.213779, 0.041126
0.910000, 26.000000, 0.201522, 0.036797
0.920000, 25.000000, 0.194451, 0.041126
0.930000, 24.000000, 0.194245, 0.034632
0.940000, 23.000000, 0.190701, 0.036797
0.950000, 19.000000, 0.151999, 0.036797
0.960000, 20.000000, 0.156629, 0.036797
0.970000, 19.000000, 0.157408, 0.034632
0.980000, 18.000000, 0.156332, 0.032468
0.990000, 16.000000, 0.135050, 0.032468
