teta, No hyperboxes, Training time, Testing error
0.010000, 188.000000, 0.064212, 0.000000
0.020000, 158.000000, 0.098434, 0.000000
0.030000, 128.000000, 0.111407, 0.000000
0.040000, 109.000000, 0.111201, 0.000000
0.050000, 88.000000, 0.106111, 0.020000
0.060000, 76.000000, 0.099903, 0.020000
0.070000, 66.000000, 0.082116, 0.020000
0.080000, 60.000000, 0.075537, 0.020000
0.090000, 55.000000, 0.071986, 0.020000
0.100000, 45.000000, 0.060268, 0.020000
0.110000, 41.000000, 0.053709, 0.000000
0.120000, 39.000000, 0.051125, 0.000000
0.130000, 33.000000, 0.051576, 0.020000
0.140000, 32.000000, 0.038172, 0.000000
0.150000, 28.000000, 0.035079, 0.000000
0.160000, 27.000000, 0.035494, 0.020000
0.170000, 28.000000, 0.033243, 0.020000
0.180000, 25.000000, 0.031125, 0.020000
0.190000, 21.000000, 0.027904, 0.020000
0.200000, 22.000000, 0.027524, 0.000000
0.210000, 22.000000, 0.041200, 0.000000
0.220000, 18.000000, 0.023683, 0.000000
0.230000, 17.000000, 0.022964, 0.000000
0.240000, 17.000000, 0.022168, 0.000000
0.250000, 14.000000, 0.019335, 0.000000
0.260000, 12.000000, 0.018308, 0.020000
0.270000, 12.000000, 0.021126, 0.020000
0.280000, 12.000000, 0.018210, 0.000000
0.290000, 11.000000, 0.016687, 0.000000
0.300000, 11.000000, 0.015781, 0.000000
0.310000, 11.000000, 0.014650, 0.000000
0.320000, 8.000000, 0.013228, 0.000000
0.330000, 5.000000, 0.021141, 0.000000
0.340000, 5.000000, 0.017168, 0.000000
0.350000, 5.000000, 0.012212, 0.000000
0.360000, 5.000000, 0.011828, 0.000000
0.370000, 5.000000, 0.011875, 0.000000
0.380000, 5.000000, 0.012376, 0.000000
0.390000, 5.000000, 0.011933, 0.000000
0.400000, 5.000000, 0.011869, 0.000000
0.410000, 5.000000, 0.011768, 0.000000
0.420000, 5.000000, 0.011707, 0.000000
0.430000, 5.000000, 0.018026, 0.000000
0.440000, 5.000000, 0.023199, 0.000000
0.450000, 5.000000, 0.011959, 0.000000
0.460000, 5.000000, 0.012186, 0.000000
0.470000, 5.000000, 0.011903, 0.000000
0.480000, 5.000000, 0.011907, 0.000000
0.490000, 5.000000, 0.011949, 0.000000
0.500000, 5.000000, 0.011926, 0.000000
0.510000, 5.000000, 0.011919, 0.000000
0.520000, 5.000000, 0.011849, 0.000000
0.530000, 5.000000, 0.012237, 0.000000
0.540000, 5.000000, 0.012403, 0.000000
0.550000, 5.000000, 0.012240, 0.000000
0.560000, 5.000000, 0.012089, 0.000000
0.570000, 5.000000, 0.012395, 0.000000
0.580000, 5.000000, 0.012411, 0.000000
0.590000, 5.000000, 0.012445, 0.000000
0.600000, 5.000000, 0.012833, 0.000000
0.610000, 5.000000, 0.015619, 0.000000
0.620000, 5.000000, 0.012510, 0.000000
0.630000, 5.000000, 0.012459, 0.000000
0.640000, 5.000000, 0.012910, 0.000000
0.650000, 5.000000, 0.012358, 0.000000
0.660000, 5.000000, 0.012196, 0.000000
0.670000, 5.000000, 0.012034, 0.000000
0.680000, 5.000000, 0.011897, 0.000000
0.690000, 5.000000, 0.012204, 0.000000
0.700000, 5.000000, 0.012194, 0.000000
0.710000, 5.000000, 0.012126, 0.000000
0.720000, 5.000000, 0.012060, 0.000000
0.730000, 5.000000, 0.012123, 0.000000
0.740000, 5.000000, 0.012024, 0.000000
0.750000, 5.000000, 0.012490, 0.000000
0.760000, 5.000000, 0.012651, 0.000000
0.770000, 5.000000, 0.012715, 0.000000
0.780000, 5.000000, 0.012491, 0.000000
0.790000, 5.000000, 0.012421, 0.000000
0.800000, 5.000000, 0.012423, 0.000000
0.810000, 5.000000, 0.012295, 0.000000
0.820000, 5.000000, 0.012221, 0.000000
0.830000, 5.000000, 0.012473, 0.000000
0.840000, 5.000000, 0.012468, 0.000000
0.850000, 5.000000, 0.012521, 0.000000
0.860000, 5.000000, 0.012609, 0.000000
0.870000, 5.000000, 0.012559, 0.000000
0.880000, 5.000000, 0.012688, 0.000000
0.890000, 5.000000, 0.012527, 0.000000
0.900000, 5.000000, 0.012726, 0.000000
0.910000, 5.000000, 0.013044, 0.000000
0.920000, 5.000000, 0.012258, 0.000000
0.930000, 5.000000, 0.021021, 0.000000
0.940000, 5.000000, 0.011895, 0.000000
0.950000, 5.000000, 0.012030, 0.000000
0.960000, 5.000000, 0.011777, 0.000000
0.970000, 5.000000, 0.011829, 0.000000
0.980000, 5.000000, 0.011873, 0.000000
0.990000, 5.000000, 0.011827, 0.000000
