teta, No hyperboxes, Training time, Testing error
0.010000, 188.000000, 0.126129, 0.000000
0.020000, 158.000000, 0.130127, 0.000000
0.030000, 128.000000, 0.127460, 0.000000
0.040000, 109.000000, 0.118911, 0.000000
0.050000, 88.000000, 0.113270, 0.020000
0.060000, 76.000000, 0.102497, 0.020000
0.070000, 66.000000, 0.089748, 0.020000
0.080000, 60.000000, 0.082964, 0.020000
0.090000, 55.000000, 0.075830, 0.020000
0.100000, 45.000000, 0.068348, 0.020000
0.110000, 41.000000, 0.062490, 0.000000
0.120000, 39.000000, 0.058902, 0.000000
0.130000, 33.000000, 0.049366, 0.020000
0.140000, 32.000000, 0.047767, 0.000000
0.150000, 28.000000, 0.045491, 0.000000
0.160000, 27.000000, 0.043438, 0.020000
0.170000, 28.000000, 0.044073, 0.020000
0.180000, 25.000000, 0.041094, 0.020000
0.190000, 21.000000, 0.037984, 0.020000
0.200000, 22.000000, 0.037029, 0.000000
0.210000, 22.000000, 0.036012, 0.000000
0.220000, 18.000000, 0.034354, 0.000000
0.230000, 17.000000, 0.033393, 0.000000
0.240000, 17.000000, 0.034345, 0.000000
0.250000, 14.000000, 0.030065, 0.000000
0.260000, 12.000000, 0.029258, 0.020000
0.270000, 12.000000, 0.030361, 0.020000
0.280000, 12.000000, 0.029533, 0.000000
0.290000, 11.000000, 0.028492, 0.000000
0.300000, 11.000000, 0.028176, 0.000000
0.310000, 11.000000, 0.027647, 0.000000
0.320000, 8.000000, 0.025599, 0.000000
0.330000, 5.000000, 0.025224, 0.000000
0.340000, 5.000000, 0.029946, 0.000000
0.350000, 5.000000, 0.027236, 0.000000
0.360000, 5.000000, 0.028031, 0.000000
0.370000, 5.000000, 0.027338, 0.000000
0.380000, 5.000000, 0.026616, 0.000000
0.390000, 5.000000, 0.027386, 0.000000
0.400000, 5.000000, 0.025352, 0.000000
0.410000, 5.000000, 0.024096, 0.000000
0.420000, 5.000000, 0.025007, 0.000000
0.430000, 5.000000, 0.024374, 0.000000
0.440000, 5.000000, 0.025065, 0.000000
0.450000, 5.000000, 0.025685, 0.000000
0.460000, 5.000000, 0.025197, 0.000000
0.470000, 5.000000, 0.024490, 0.000000
0.480000, 5.000000, 0.024953, 0.000000
0.490000, 5.000000, 0.025172, 0.000000
0.500000, 5.000000, 0.027051, 0.000000
0.510000, 5.000000, 0.024495, 0.000000
0.520000, 5.000000, 0.024748, 0.000000
0.530000, 5.000000, 0.024911, 0.000000
0.540000, 5.000000, 0.024617, 0.000000
0.550000, 5.000000, 0.024408, 0.000000
0.560000, 5.000000, 0.025533, 0.000000
0.570000, 5.000000, 0.024666, 0.000000
0.580000, 5.000000, 0.024775, 0.000000
0.590000, 5.000000, 0.024997, 0.000000
0.600000, 5.000000, 0.024963, 0.000000
0.610000, 5.000000, 0.025024, 0.000000
0.620000, 5.000000, 0.024618, 0.000000
0.630000, 5.000000, 0.024676, 0.000000
0.640000, 5.000000, 0.024881, 0.000000
0.650000, 5.000000, 0.024768, 0.000000
0.660000, 5.000000, 0.024855, 0.000000
0.670000, 5.000000, 0.024800, 0.000000
0.680000, 5.000000, 0.025362, 0.000000
0.690000, 5.000000, 0.024252, 0.000000
0.700000, 5.000000, 0.024598, 0.000000
0.710000, 5.000000, 0.025550, 0.000000
0.720000, 5.000000, 0.025027, 0.000000
0.730000, 5.000000, 0.024308, 0.000000
0.740000, 5.000000, 0.025590, 0.000000
0.750000, 5.000000, 0.025323, 0.000000
0.760000, 5.000000, 0.024464, 0.000000
0.770000, 5.000000, 0.024530, 0.000000
0.780000, 5.000000, 0.024862, 0.000000
0.790000, 5.000000, 0.024722, 0.000000
0.800000, 5.000000, 0.023657, 0.000000
0.810000, 5.000000, 0.024647, 0.000000
0.820000, 5.000000, 0.023747, 0.000000
0.830000, 5.000000, 0.022963, 0.000000
0.840000, 5.000000, 0.023256, 0.000000
0.850000, 5.000000, 0.023261, 0.000000
0.860000, 5.000000, 0.024683, 0.000000
0.870000, 5.000000, 0.023903, 0.000000
0.880000, 5.000000, 0.023907, 0.000000
0.890000, 5.000000, 0.024301, 0.000000
0.900000, 5.000000, 0.026753, 0.000000
0.910000, 5.000000, 0.025760, 0.000000
0.920000, 5.000000, 0.026734, 0.000000
0.930000, 5.000000, 0.026432, 0.000000
0.940000, 5.000000, 0.026357, 0.000000
0.950000, 5.000000, 0.026624, 0.000000
0.960000, 5.000000, 0.026378, 0.000000
0.970000, 5.000000, 0.026614, 0.000000
0.980000, 5.000000, 0.028055, 0.000000
0.990000, 5.000000, 0.026863, 0.000000
