teta, No hyperboxes, Training time, Testing error
0.010000, 421.000000, 1.756540, 0.000000
0.020000, 266.000000, 1.222894, 0.000000
0.030000, 199.000000, 0.846773, 0.000000
0.040000, 158.000000, 0.615817, 0.000000
0.050000, 132.000000, 0.498074, 0.000000
0.060000, 109.000000, 0.413751, 0.000000
0.070000, 100.000000, 0.337731, 0.000000
0.080000, 88.000000, 0.317046, 0.000000
0.090000, 76.000000, 0.247287, 0.000000
0.100000, 70.000000, 0.231424, 0.000000
0.110000, 64.000000, 0.213408, 0.000000
0.120000, 59.000000, 0.174315, 0.000000
0.130000, 56.000000, 0.166021, 0.000000
0.140000, 55.000000, 0.193345, 0.000000
0.150000, 54.000000, 0.142296, 0.000000
0.160000, 44.000000, 0.122497, 0.000000
0.170000, 39.000000, 0.132234, 0.000000
0.180000, 40.000000, 0.117628, 0.000000
0.190000, 41.000000, 0.117947, 0.000000
0.200000, 36.000000, 0.111826, 0.055000
0.210000, 31.000000, 0.103540, 0.090000
0.220000, 31.000000, 0.101068, 0.055000
0.230000, 31.000000, 0.096743, 0.040000
0.240000, 30.000000, 0.097258, 0.065000
0.250000, 30.000000, 0.090396, 0.065000
0.260000, 29.000000, 0.091539, 0.115000
0.270000, 26.000000, 0.094879, 0.070000
0.280000, 25.000000, 0.078921, 0.080000
0.290000, 25.000000, 0.084224, 0.125000
0.300000, 23.000000, 0.081653, 0.195000
0.310000, 19.000000, 0.090651, 0.250000
0.320000, 20.000000, 0.092464, 0.250000
0.330000, 18.000000, 0.080281, 0.265000
0.340000, 16.000000, 0.073283, 0.270000
0.350000, 18.000000, 0.092885, 0.235000
0.360000, 17.000000, 0.074760, 0.240000
0.370000, 17.000000, 0.093028, 0.230000
0.380000, 16.000000, 0.075229, 0.295000
0.390000, 16.000000, 0.082574, 0.405000
0.400000, 13.000000, 0.058436, 0.385000
0.410000, 14.000000, 0.078380, 0.365000
0.420000, 12.000000, 0.071035, 0.425000
0.430000, 12.000000, 0.073170, 0.415000
0.440000, 13.000000, 0.095219, 0.430000
0.450000, 12.000000, 0.088136, 0.480000
0.460000, 13.000000, 0.067075, 0.460000
0.470000, 12.000000, 0.059368, 0.470000
0.480000, 12.000000, 0.060269, 0.485000
0.490000, 11.000000, 0.047675, 0.405000
0.500000, 10.000000, 0.050318, 0.410000
0.510000, 9.000000, 0.048666, 0.405000
0.520000, 10.000000, 0.061677, 0.475000
0.530000, 9.000000, 0.050183, 0.420000
0.540000, 9.000000, 0.065566, 0.420000
0.550000, 8.000000, 0.047648, 0.375000
0.560000, 8.000000, 0.047499, 0.400000
0.570000, 8.000000, 0.044648, 0.440000
0.580000, 8.000000, 0.044546, 0.440000
0.590000, 8.000000, 0.044902, 0.445000
0.600000, 8.000000, 0.045073, 0.405000
0.610000, 7.000000, 0.062241, 0.395000
0.620000, 7.000000, 0.056052, 0.400000
0.630000, 8.000000, 0.073360, 0.400000
0.640000, 6.000000, 0.039152, 0.420000
0.650000, 6.000000, 0.039907, 0.420000
0.660000, 6.000000, 0.040080, 0.420000
0.670000, 7.000000, 0.040681, 0.420000
0.680000, 6.000000, 0.040088, 0.420000
0.690000, 7.000000, 0.040082, 0.395000
0.700000, 7.000000, 0.039931, 0.390000
0.710000, 8.000000, 0.040880, 0.395000
0.720000, 7.000000, 0.041342, 0.385000
0.730000, 7.000000, 0.042240, 0.385000
0.740000, 7.000000, 0.050042, 0.425000
0.750000, 7.000000, 0.044541, 0.410000
0.760000, 5.000000, 0.041687, 0.415000
0.770000, 5.000000, 0.042953, 0.410000
0.780000, 6.000000, 0.043734, 0.425000
0.790000, 6.000000, 0.045250, 0.425000
0.800000, 6.000000, 0.055839, 0.425000
0.810000, 6.000000, 0.042934, 0.425000
0.820000, 6.000000, 0.040575, 0.430000
0.830000, 6.000000, 0.040835, 0.430000
0.840000, 5.000000, 0.036101, 0.415000
0.850000, 4.000000, 0.035977, 0.420000
0.860000, 4.000000, 0.035143, 0.415000
0.870000, 4.000000, 0.034266, 0.420000
0.880000, 2.000000, 0.032878, 0.435000
0.890000, 2.000000, 0.033423, 0.435000
0.900000, 2.000000, 0.031600, 0.435000
0.910000, 2.000000, 0.031404, 0.435000
0.920000, 2.000000, 0.031633, 0.435000
0.930000, 2.000000, 0.033225, 0.435000
0.940000, 2.000000, 0.031619, 0.435000
0.950000, 2.000000, 0.031939, 0.435000
0.960000, 2.000000, 0.031799, 0.435000
0.970000, 2.000000, 0.037822, 0.435000
0.980000, 2.000000, 0.036640, 0.435000
0.990000, 2.000000, 0.031870, 0.435000
