teta, No hyperboxes, Training time, Testing error
0.010000, 421.000000, 1.732498, 0.000000
0.020000, 266.000000, 1.139232, 0.000000
0.030000, 199.000000, 0.838776, 0.000000
0.040000, 158.000000, 0.601593, 0.000000
0.050000, 132.000000, 0.494290, 0.000000
0.060000, 109.000000, 0.403721, 0.000000
0.070000, 100.000000, 0.350524, 0.000000
0.080000, 88.000000, 0.335269, 0.000000
0.090000, 76.000000, 0.272273, 0.000000
0.100000, 70.000000, 0.246864, 0.000000
0.110000, 64.000000, 0.256518, 0.000000
0.120000, 59.000000, 0.217780, 0.000000
0.130000, 56.000000, 0.186618, 0.000000
0.140000, 55.000000, 0.180702, 0.000000
0.150000, 54.000000, 0.174632, 0.000000
0.160000, 44.000000, 0.182607, 0.000000
0.170000, 39.000000, 0.157164, 0.000000
0.180000, 40.000000, 0.150755, 0.000000
0.190000, 41.000000, 0.150258, 0.000000
0.200000, 36.000000, 0.146741, 0.055000
0.210000, 31.000000, 0.139505, 0.090000
0.220000, 31.000000, 0.143689, 0.055000
0.230000, 31.000000, 0.134092, 0.040000
0.240000, 30.000000, 0.129527, 0.065000
0.250000, 30.000000, 0.136081, 0.065000
0.260000, 29.000000, 0.128887, 0.115000
0.270000, 26.000000, 0.130656, 0.070000
0.280000, 25.000000, 0.117150, 0.080000
0.290000, 25.000000, 0.123094, 0.125000
0.300000, 23.000000, 0.118803, 0.195000
0.310000, 19.000000, 0.108488, 0.250000
0.320000, 20.000000, 0.117369, 0.250000
0.330000, 18.000000, 0.125586, 0.265000
0.340000, 16.000000, 0.108437, 0.270000
0.350000, 18.000000, 0.117097, 0.235000
0.360000, 17.000000, 0.115462, 0.240000
0.370000, 17.000000, 0.112567, 0.230000
0.380000, 16.000000, 0.104743, 0.295000
0.390000, 16.000000, 0.108307, 0.405000
0.400000, 13.000000, 0.110946, 0.385000
0.410000, 14.000000, 0.113056, 0.365000
0.420000, 12.000000, 0.104558, 0.425000
0.430000, 12.000000, 0.094234, 0.415000
0.440000, 13.000000, 0.098311, 0.430000
0.450000, 12.000000, 0.105922, 0.480000
0.460000, 13.000000, 0.115640, 0.460000
0.470000, 12.000000, 0.106738, 0.470000
0.480000, 12.000000, 0.101355, 0.485000
0.490000, 11.000000, 0.088051, 0.405000
0.500000, 10.000000, 0.099556, 0.410000
0.510000, 9.000000, 0.095008, 0.405000
0.520000, 10.000000, 0.095962, 0.475000
0.530000, 9.000000, 0.091575, 0.420000
0.540000, 9.000000, 0.089624, 0.420000
0.550000, 8.000000, 0.087637, 0.375000
0.560000, 8.000000, 0.087921, 0.400000
0.570000, 8.000000, 0.085617, 0.440000
0.580000, 8.000000, 0.086496, 0.440000
0.590000, 8.000000, 0.084952, 0.445000
0.600000, 8.000000, 0.086183, 0.405000
0.610000, 7.000000, 0.084612, 0.395000
0.620000, 7.000000, 0.084609, 0.400000
0.630000, 8.000000, 0.083885, 0.400000
0.640000, 6.000000, 0.081045, 0.420000
0.650000, 6.000000, 0.081798, 0.420000
0.660000, 6.000000, 0.081947, 0.420000
0.670000, 7.000000, 0.082404, 0.420000
0.680000, 6.000000, 0.082304, 0.420000
0.690000, 7.000000, 0.081680, 0.395000
0.700000, 7.000000, 0.081811, 0.390000
0.710000, 8.000000, 0.082783, 0.395000
0.720000, 7.000000, 0.084621, 0.385000
0.730000, 7.000000, 0.084232, 0.385000
0.740000, 7.000000, 0.092140, 0.425000
0.750000, 7.000000, 0.086574, 0.410000
0.760000, 5.000000, 0.083543, 0.415000
0.770000, 5.000000, 0.084118, 0.410000
0.780000, 6.000000, 0.083829, 0.425000
0.790000, 6.000000, 0.085012, 0.425000
0.800000, 6.000000, 0.083426, 0.425000
0.810000, 6.000000, 0.083322, 0.425000
0.820000, 6.000000, 0.083489, 0.430000
0.830000, 6.000000, 0.082708, 0.430000
0.840000, 5.000000, 0.078607, 0.415000
0.850000, 4.000000, 0.078621, 0.420000
0.860000, 4.000000, 0.076926, 0.415000
0.870000, 4.000000, 0.075209, 0.420000
0.880000, 2.000000, 0.074109, 0.435000
0.890000, 2.000000, 0.072821, 0.435000
0.900000, 2.000000, 0.073541, 0.435000
0.910000, 2.000000, 0.072986, 0.435000
0.920000, 2.000000, 0.072280, 0.435000
0.930000, 2.000000, 0.073831, 0.435000
0.940000, 2.000000, 0.073601, 0.435000
0.950000, 2.000000, 0.071681, 0.435000
0.960000, 2.000000, 0.073200, 0.435000
0.970000, 2.000000, 0.075020, 0.435000
0.980000, 2.000000, 0.073291, 0.435000
0.990000, 2.000000, 0.074955, 0.435000
