teta, No hyperboxes, Training time, Testing error
0.010000, 223.000000, 0.150137, 0.139000
0.020000, 175.000000, 0.218207, 0.140000
0.030000, 146.000000, 0.194975, 0.138000
0.040000, 121.000000, 0.181744, 0.143000
0.050000, 106.000000, 0.167863, 0.133000
0.060000, 85.000000, 0.142523, 0.129000
0.070000, 75.000000, 0.137996, 0.141000
0.080000, 69.000000, 0.121265, 0.154000
0.090000, 59.000000, 0.104248, 0.143000
0.100000, 53.000000, 0.094822, 0.129000
0.110000, 45.000000, 0.087396, 0.158000
0.120000, 40.000000, 0.069074, 0.172000
0.130000, 38.000000, 0.080907, 0.175000
0.140000, 36.000000, 0.060270, 0.166000
0.150000, 33.000000, 0.055541, 0.171000
0.160000, 29.000000, 0.048188, 0.155000
0.170000, 28.000000, 0.045620, 0.149000
0.180000, 26.000000, 0.042422, 0.159000
0.190000, 24.000000, 0.039765, 0.138000
0.200000, 23.000000, 0.037335, 0.141000
0.210000, 21.000000, 0.034982, 0.146000
0.220000, 19.000000, 0.032199, 0.144000
0.230000, 19.000000, 0.030095, 0.127000
0.240000, 17.000000, 0.029086, 0.160000
0.250000, 17.000000, 0.026894, 0.164000
0.260000, 16.000000, 0.026634, 0.138000
0.270000, 14.000000, 0.024535, 0.151000
0.280000, 12.000000, 0.022824, 0.187000
0.290000, 12.000000, 0.022630, 0.181000
0.300000, 12.000000, 0.028140, 0.227000
0.310000, 12.000000, 0.023459, 0.226000
0.320000, 11.000000, 0.021231, 0.214000
0.330000, 11.000000, 0.021743, 0.233000
0.340000, 10.000000, 0.021472, 0.232000
0.350000, 11.000000, 0.021365, 0.222000
0.360000, 11.000000, 0.020958, 0.190000
0.370000, 11.000000, 0.019758, 0.181000
0.380000, 10.000000, 0.019115, 0.233000
0.390000, 9.000000, 0.018895, 0.221000
0.400000, 9.000000, 0.018304, 0.226000
0.410000, 9.000000, 0.017728, 0.208000
0.420000, 9.000000, 0.018788, 0.219000
0.430000, 9.000000, 0.019417, 0.168000
0.440000, 7.000000, 0.020992, 0.168000
0.450000, 7.000000, 0.015652, 0.132000
0.460000, 7.000000, 0.016243, 0.213000
0.470000, 6.000000, 0.015142, 0.222000
0.480000, 6.000000, 0.015088, 0.164000
0.490000, 6.000000, 0.014921, 0.120000
0.500000, 6.000000, 0.027415, 0.121000
0.510000, 6.000000, 0.014256, 0.182000
0.520000, 6.000000, 0.014331, 0.185000
0.530000, 6.000000, 0.013172, 0.127000
0.540000, 6.000000, 0.023910, 0.128000
0.550000, 6.000000, 0.025838, 0.119000
0.560000, 7.000000, 0.014268, 0.097000
0.570000, 6.000000, 0.014079, 0.104000
0.580000, 6.000000, 0.013230, 0.148000
0.590000, 6.000000, 0.013137, 0.148000
0.600000, 6.000000, 0.023526, 0.148000
0.610000, 6.000000, 0.012377, 0.154000
0.620000, 5.000000, 0.012790, 0.155000
0.630000, 5.000000, 0.011681, 0.135000
0.640000, 4.000000, 0.011289, 0.135000
0.650000, 4.000000, 0.011973, 0.129000
0.660000, 4.000000, 0.012218, 0.136000
0.670000, 4.000000, 0.011266, 0.136000
0.680000, 3.000000, 0.011024, 0.136000
0.690000, 3.000000, 0.011062, 0.136000
0.700000, 3.000000, 0.019454, 0.136000
0.710000, 3.000000, 0.019684, 0.136000
0.720000, 3.000000, 0.010885, 0.136000
0.730000, 3.000000, 0.010965, 0.136000
0.740000, 3.000000, 0.011028, 0.136000
0.750000, 3.000000, 0.010722, 0.136000
0.760000, 3.000000, 0.011158, 0.147000
0.770000, 3.000000, 0.011434, 0.147000
0.780000, 3.000000, 0.010894, 0.162000
0.790000, 2.000000, 0.010476, 0.159000
0.800000, 2.000000, 0.010523, 0.159000
0.810000, 2.000000, 0.010221, 0.159000
0.820000, 2.000000, 0.010410, 0.159000
0.830000, 2.000000, 0.010877, 0.159000
0.840000, 2.000000, 0.010813, 0.159000
0.850000, 2.000000, 0.010404, 0.159000
0.860000, 2.000000, 0.010468, 0.159000
0.870000, 2.000000, 0.010314, 0.159000
0.880000, 2.000000, 0.010262, 0.159000
0.890000, 2.000000, 0.010375, 0.159000
0.900000, 2.000000, 0.010453, 0.159000
0.910000, 2.000000, 0.010651, 0.159000
0.920000, 2.000000, 0.010928, 0.159000
0.930000, 2.000000, 0.010277, 0.159000
0.940000, 2.000000, 0.010539, 0.159000
0.950000, 2.000000, 0.010343, 0.159000
0.960000, 2.000000, 0.010663, 0.159000
0.970000, 2.000000, 0.010758, 0.159000
0.980000, 2.000000, 0.010676, 0.159000
0.990000, 2.000000, 0.010393, 0.159000
