teta, No hyperboxes, Training time, Testing error
0.010000, 223.000000, 0.198405, 0.139000
0.020000, 175.000000, 0.206760, 0.140000
0.030000, 146.000000, 0.199584, 0.138000
0.040000, 121.000000, 0.184010, 0.143000
0.050000, 106.000000, 0.167524, 0.133000
0.060000, 85.000000, 0.140880, 0.129000
0.070000, 75.000000, 0.134442, 0.141000
0.080000, 69.000000, 0.125170, 0.154000
0.090000, 59.000000, 0.108428, 0.143000
0.100000, 53.000000, 0.100689, 0.129000
0.110000, 45.000000, 0.080800, 0.158000
0.120000, 40.000000, 0.075100, 0.172000
0.130000, 38.000000, 0.071171, 0.175000
0.140000, 36.000000, 0.065322, 0.166000
0.150000, 33.000000, 0.060472, 0.171000
0.160000, 29.000000, 0.056308, 0.155000
0.170000, 28.000000, 0.053285, 0.149000
0.180000, 26.000000, 0.052220, 0.159000
0.190000, 24.000000, 0.051164, 0.138000
0.200000, 23.000000, 0.049652, 0.141000
0.210000, 21.000000, 0.046830, 0.146000
0.220000, 19.000000, 0.044197, 0.144000
0.230000, 19.000000, 0.043957, 0.127000
0.240000, 17.000000, 0.041887, 0.160000
0.250000, 17.000000, 0.037027, 0.164000
0.260000, 16.000000, 0.038078, 0.138000
0.270000, 14.000000, 0.037530, 0.151000
0.280000, 12.000000, 0.036197, 0.187000
0.290000, 12.000000, 0.035329, 0.181000
0.300000, 12.000000, 0.035415, 0.227000
0.310000, 12.000000, 0.035996, 0.226000
0.320000, 11.000000, 0.032667, 0.214000
0.330000, 11.000000, 0.033248, 0.233000
0.340000, 10.000000, 0.033748, 0.232000
0.350000, 11.000000, 0.032631, 0.222000
0.360000, 11.000000, 0.033299, 0.190000
0.370000, 11.000000, 0.031841, 0.181000
0.380000, 10.000000, 0.031328, 0.233000
0.390000, 9.000000, 0.030913, 0.221000
0.400000, 9.000000, 0.031113, 0.226000
0.410000, 9.000000, 0.030129, 0.208000
0.420000, 9.000000, 0.031537, 0.219000
0.430000, 9.000000, 0.031538, 0.168000
0.440000, 7.000000, 0.028651, 0.168000
0.450000, 7.000000, 0.028889, 0.132000
0.460000, 7.000000, 0.029402, 0.213000
0.470000, 6.000000, 0.029658, 0.222000
0.480000, 6.000000, 0.028850, 0.164000
0.490000, 6.000000, 0.028239, 0.120000
0.500000, 6.000000, 0.026876, 0.121000
0.510000, 6.000000, 0.027124, 0.182000
0.520000, 6.000000, 0.027179, 0.185000
0.530000, 6.000000, 0.025817, 0.127000
0.540000, 6.000000, 0.027035, 0.128000
0.550000, 6.000000, 0.026957, 0.119000
0.560000, 7.000000, 0.027046, 0.097000
0.570000, 6.000000, 0.026825, 0.104000
0.580000, 6.000000, 0.025720, 0.148000
0.590000, 6.000000, 0.026122, 0.148000
0.600000, 6.000000, 0.026067, 0.148000
0.610000, 6.000000, 0.025962, 0.154000
0.620000, 5.000000, 0.025456, 0.155000
0.630000, 5.000000, 0.024526, 0.135000
0.640000, 4.000000, 0.024770, 0.135000
0.650000, 4.000000, 0.024832, 0.129000
0.660000, 4.000000, 0.024466, 0.136000
0.670000, 4.000000, 0.024272, 0.136000
0.680000, 3.000000, 0.023259, 0.136000
0.690000, 3.000000, 0.024080, 0.136000
0.700000, 3.000000, 0.024238, 0.136000
0.710000, 3.000000, 0.023778, 0.136000
0.720000, 3.000000, 0.024100, 0.136000
0.730000, 3.000000, 0.024643, 0.136000
0.740000, 3.000000, 0.025325, 0.136000
0.750000, 3.000000, 0.025404, 0.136000
0.760000, 3.000000, 0.025385, 0.147000
0.770000, 3.000000, 0.024290, 0.147000
0.780000, 3.000000, 0.023989, 0.162000
0.790000, 2.000000, 0.023369, 0.159000
0.800000, 2.000000, 0.023902, 0.159000
0.810000, 2.000000, 0.023252, 0.159000
0.820000, 2.000000, 0.024195, 0.159000
0.830000, 2.000000, 0.023675, 0.159000
0.840000, 2.000000, 0.022501, 0.159000
0.850000, 2.000000, 0.023290, 0.159000
0.860000, 2.000000, 0.025165, 0.159000
0.870000, 2.000000, 0.022475, 0.159000
0.880000, 2.000000, 0.022746, 0.159000
0.890000, 2.000000, 0.034224, 0.159000
0.900000, 2.000000, 0.024731, 0.159000
0.910000, 2.000000, 0.035120, 0.159000
0.920000, 2.000000, 0.038935, 0.159000
0.930000, 2.000000, 0.029188, 0.159000
0.940000, 2.000000, 0.024990, 0.159000
0.950000, 2.000000, 0.023310, 0.159000
0.960000, 2.000000, 0.029042, 0.159000
0.970000, 2.000000, 0.024397, 0.159000
0.980000, 2.000000, 0.022918, 0.159000
0.990000, 2.000000, 0.022753, 0.159000
