teta, No hyperboxes, Training time, Testing error
0.010000, 172.000000, 0.065810, 0.023256
0.020000, 167.000000, 0.067654, 0.023256
0.030000, 145.000000, 0.071711, 0.023256
0.040000, 135.000000, 0.074204, 0.023256
0.050000, 121.000000, 0.086536, 0.023256
0.060000, 103.000000, 0.066738, 0.023256
0.070000, 89.000000, 0.055124, 0.023256
0.080000, 79.000000, 0.055555, 0.023256
0.090000, 70.000000, 0.048259, 0.023256
0.100000, 68.000000, 0.044431, 0.046512
0.110000, 60.000000, 0.056108, 0.023256
0.120000, 54.000000, 0.042015, 0.023256
0.130000, 49.000000, 0.052368, 0.046512
0.140000, 46.000000, 0.063533, 0.046512
0.150000, 44.000000, 0.042570, 0.046512
0.160000, 39.000000, 0.032414, 0.093023
0.170000, 38.000000, 0.031740, 0.069767
0.180000, 36.000000, 0.028535, 0.046512
0.190000, 33.000000, 0.027017, 0.069767
0.200000, 31.000000, 0.026563, 0.093023
0.210000, 30.000000, 0.026292, 0.093023
0.220000, 27.000000, 0.024693, 0.069767
0.230000, 27.000000, 0.023736, 0.069767
0.240000, 25.000000, 0.022672, 0.116279
0.250000, 25.000000, 0.021304, 0.093023
0.260000, 24.000000, 0.019545, 0.093023
0.270000, 21.000000, 0.019834, 0.093023
0.280000, 19.000000, 0.020974, 0.093023
0.290000, 19.000000, 0.021342, 0.093023
0.300000, 18.000000, 0.018813, 0.046512
0.310000, 17.000000, 0.018067, 0.046512
0.320000, 16.000000, 0.017362, 0.046512
0.330000, 16.000000, 0.017401, 0.046512
0.340000, 16.000000, 0.017255, 0.046512
0.350000, 15.000000, 0.016893, 0.046512
0.360000, 14.000000, 0.016088, 0.046512
0.370000, 14.000000, 0.016080, 0.046512
0.380000, 12.000000, 0.014510, 0.069767
0.390000, 12.000000, 0.014576, 0.069767
0.400000, 12.000000, 0.014122, 0.069767
0.410000, 12.000000, 0.013781, 0.046512
0.420000, 11.000000, 0.013074, 0.046512
0.430000, 10.000000, 0.013069, 0.046512
0.440000, 10.000000, 0.013698, 0.046512
0.450000, 9.000000, 0.012522, 0.046512
0.460000, 10.000000, 0.019070, 0.046512
0.470000, 10.000000, 0.020685, 0.046512
0.480000, 10.000000, 0.020565, 0.046512
0.490000, 9.000000, 0.020104, 0.046512
0.500000, 9.000000, 0.013968, 0.046512
0.510000, 9.000000, 0.011314, 0.046512
0.520000, 9.000000, 0.011219, 0.046512
0.530000, 9.000000, 0.011488, 0.046512
0.540000, 9.000000, 0.011380, 0.046512
0.550000, 8.000000, 0.010558, 0.046512
0.560000, 7.000000, 0.011077, 0.046512
0.570000, 8.000000, 0.011671, 0.046512
0.580000, 7.000000, 0.013989, 0.046512
0.590000, 7.000000, 0.010755, 0.046512
0.600000, 7.000000, 0.010938, 0.046512
0.610000, 7.000000, 0.010857, 0.046512
0.620000, 6.000000, 0.009954, 0.046512
0.630000, 6.000000, 0.009959, 0.046512
0.640000, 6.000000, 0.010334, 0.046512
0.650000, 6.000000, 0.010415, 0.046512
0.660000, 6.000000, 0.010172, 0.046512
0.670000, 6.000000, 0.010001, 0.046512
0.680000, 6.000000, 0.012543, 0.046512
0.690000, 6.000000, 0.009838, 0.046512
0.700000, 6.000000, 0.010169, 0.046512
0.710000, 6.000000, 0.010317, 0.046512
0.720000, 6.000000, 0.010347, 0.046512
0.730000, 6.000000, 0.010264, 0.046512
0.740000, 6.000000, 0.010069, 0.046512
0.750000, 6.000000, 0.009876, 0.046512
0.760000, 6.000000, 0.016695, 0.046512
0.770000, 6.000000, 0.017847, 0.046512
0.780000, 6.000000, 0.010834, 0.046512
0.790000, 6.000000, 0.010504, 0.046512
0.800000, 6.000000, 0.010206, 0.046512
0.810000, 5.000000, 0.010094, 0.046512
0.820000, 5.000000, 0.010038, 0.046512
0.830000, 5.000000, 0.010161, 0.046512
0.840000, 5.000000, 0.010377, 0.046512
0.850000, 5.000000, 0.010296, 0.046512
0.860000, 5.000000, 0.017828, 0.046512
0.870000, 5.000000, 0.010650, 0.046512
0.880000, 5.000000, 0.010229, 0.046512
0.890000, 5.000000, 0.010308, 0.046512
0.900000, 5.000000, 0.010243, 0.046512
0.910000, 5.000000, 0.009782, 0.046512
0.920000, 5.000000, 0.010013, 0.046512
0.930000, 5.000000, 0.010111, 0.046512
0.940000, 5.000000, 0.009738, 0.046512
0.950000, 5.000000, 0.009678, 0.046512
0.960000, 5.000000, 0.009319, 0.046512
0.970000, 5.000000, 0.009250, 0.046512
0.980000, 3.000000, 0.008528, 0.046512
0.990000, 3.000000, 0.008973, 0.046512
