teta, No hyperboxes, Training time, Testing error
0.010000, 172.000000, 0.096619, 0.023256
0.020000, 167.000000, 0.103913, 0.023256
0.030000, 145.000000, 0.100386, 0.023256
0.040000, 135.000000, 0.102348, 0.023256
0.050000, 121.000000, 0.099441, 0.023256
0.060000, 103.000000, 0.081523, 0.023256
0.070000, 89.000000, 0.077000, 0.023256
0.080000, 79.000000, 0.072009, 0.023256
0.090000, 70.000000, 0.065131, 0.023256
0.100000, 68.000000, 0.058652, 0.046512
0.110000, 60.000000, 0.059368, 0.023256
0.120000, 54.000000, 0.071498, 0.023256
0.130000, 49.000000, 0.049343, 0.046512
0.140000, 46.000000, 0.052245, 0.046512
0.150000, 44.000000, 0.062829, 0.046512
0.160000, 39.000000, 0.044775, 0.093023
0.170000, 38.000000, 0.043449, 0.069767
0.180000, 36.000000, 0.038687, 0.046512
0.190000, 33.000000, 0.038149, 0.069767
0.200000, 31.000000, 0.037831, 0.093023
0.210000, 30.000000, 0.035735, 0.093023
0.220000, 27.000000, 0.033947, 0.069767
0.230000, 27.000000, 0.032843, 0.069767
0.240000, 25.000000, 0.031418, 0.116279
0.250000, 25.000000, 0.032169, 0.093023
0.260000, 24.000000, 0.029759, 0.093023
0.270000, 21.000000, 0.031028, 0.093023
0.280000, 19.000000, 0.029931, 0.093023
0.290000, 19.000000, 0.032418, 0.093023
0.300000, 18.000000, 0.028009, 0.046512
0.310000, 17.000000, 0.026452, 0.046512
0.320000, 16.000000, 0.026327, 0.046512
0.330000, 16.000000, 0.025993, 0.046512
0.340000, 16.000000, 0.025674, 0.046512
0.350000, 15.000000, 0.026200, 0.046512
0.360000, 14.000000, 0.025165, 0.046512
0.370000, 14.000000, 0.026024, 0.046512
0.380000, 12.000000, 0.025054, 0.069767
0.390000, 12.000000, 0.024632, 0.069767
0.400000, 12.000000, 0.023381, 0.069767
0.410000, 12.000000, 0.022848, 0.046512
0.420000, 11.000000, 0.022825, 0.046512
0.430000, 10.000000, 0.021974, 0.046512
0.440000, 10.000000, 0.021852, 0.046512
0.450000, 9.000000, 0.021024, 0.046512
0.460000, 10.000000, 0.021597, 0.046512
0.470000, 10.000000, 0.020950, 0.046512
0.480000, 10.000000, 0.020733, 0.046512
0.490000, 9.000000, 0.019930, 0.046512
0.500000, 9.000000, 0.021225, 0.046512
0.510000, 9.000000, 0.020654, 0.046512
0.520000, 9.000000, 0.020532, 0.046512
0.530000, 9.000000, 0.020897, 0.046512
0.540000, 9.000000, 0.021838, 0.046512
0.550000, 8.000000, 0.021071, 0.046512
0.560000, 7.000000, 0.020824, 0.046512
0.570000, 8.000000, 0.021595, 0.046512
0.580000, 7.000000, 0.019563, 0.046512
0.590000, 7.000000, 0.019208, 0.046512
0.600000, 7.000000, 0.019285, 0.046512
0.610000, 7.000000, 0.019734, 0.046512
0.620000, 6.000000, 0.018884, 0.046512
0.630000, 6.000000, 0.019359, 0.046512
0.640000, 6.000000, 0.019816, 0.046512
0.650000, 6.000000, 0.020455, 0.046512
0.660000, 6.000000, 0.019647, 0.046512
0.670000, 6.000000, 0.019280, 0.046512
0.680000, 6.000000, 0.019166, 0.046512
0.690000, 6.000000, 0.020623, 0.046512
0.700000, 6.000000, 0.020262, 0.046512
0.710000, 6.000000, 0.020068, 0.046512
0.720000, 6.000000, 0.020849, 0.046512
0.730000, 6.000000, 0.019712, 0.046512
0.740000, 6.000000, 0.019926, 0.046512
0.750000, 6.000000, 0.018876, 0.046512
0.760000, 6.000000, 0.019408, 0.046512
0.770000, 6.000000, 0.019187, 0.046512
0.780000, 6.000000, 0.019511, 0.046512
0.790000, 6.000000, 0.019485, 0.046512
0.800000, 6.000000, 0.019140, 0.046512
0.810000, 5.000000, 0.020300, 0.046512
0.820000, 5.000000, 0.019998, 0.046512
0.830000, 5.000000, 0.020154, 0.046512
0.840000, 5.000000, 0.019879, 0.046512
0.850000, 5.000000, 0.019859, 0.046512
0.860000, 5.000000, 0.021780, 0.046512
0.870000, 5.000000, 0.020202, 0.046512
0.880000, 5.000000, 0.021015, 0.046512
0.890000, 5.000000, 0.020455, 0.046512
0.900000, 5.000000, 0.020395, 0.046512
0.910000, 5.000000, 0.020352, 0.046512
0.920000, 5.000000, 0.020729, 0.046512
0.930000, 5.000000, 0.020340, 0.046512
0.940000, 5.000000, 0.019491, 0.046512
0.950000, 5.000000, 0.019172, 0.046512
0.960000, 5.000000, 0.018967, 0.046512
0.970000, 5.000000, 0.019259, 0.046512
0.980000, 3.000000, 0.019014, 0.046512
0.990000, 3.000000, 0.018649, 0.046512
