teta, No hyperboxes, Training time, Testing error
0.010000, 5920.000000, 84.126969, 0.055405
0.020000, 5920.000000, 81.980286, 0.055405
0.030000, 5920.000000, 81.339967, 0.055405
0.040000, 5920.000000, 79.898826, 0.055405
0.050000, 5920.000000, 80.244640, 0.055405
0.060000, 5920.000000, 79.950592, 0.055405
0.070000, 5920.000000, 79.246630, 0.055405
0.080000, 5920.000000, 79.759796, 0.055405
0.090000, 5919.000000, 82.100848, 0.054730
0.100000, 5919.000000, 80.931840, 0.054730
0.110000, 5916.000000, 82.350659, 0.054730
0.120000, 5909.000000, 81.679790, 0.053378
0.130000, 5868.000000, 82.575501, 0.050000
0.140000, 5779.000000, 85.184095, 0.063514
0.150000, 5598.000000, 90.417084, 0.058784
0.160000, 5327.000000, 94.147564, 0.056081
0.170000, 4950.000000, 95.348619, 0.057432
0.180000, 4575.000000, 103.759536, 0.052703
0.190000, 4125.000000, 105.559123, 0.052027
0.200000, 3736.000000, 106.582416, 0.052703
0.210000, 3336.000000, 106.453861, 0.043243
0.220000, 3014.000000, 102.869235, 0.047973
0.230000, 2710.000000, 98.424931, 0.046622
0.240000, 2453.000000, 95.793412, 0.045946
0.250000, 2204.000000, 88.910586, 0.053378
0.260000, 1952.000000, 84.794855, 0.053378
0.270000, 1769.000000, 79.870836, 0.050000
0.280000, 1576.000000, 74.944605, 0.051351
0.290000, 1411.000000, 71.125202, 0.039865
0.300000, 1242.000000, 66.672555, 0.045270
0.310000, 1102.000000, 63.050935, 0.042568
0.320000, 987.000000, 61.104599, 0.043919
0.330000, 866.000000, 57.210023, 0.049324
0.340000, 768.000000, 53.256877, 0.042568
0.350000, 673.000000, 49.708165, 0.052027
0.360000, 598.000000, 46.199854, 0.056757
0.370000, 527.000000, 42.573900, 0.068243
0.380000, 455.000000, 37.855975, 0.076351
0.390000, 408.000000, 35.069922, 0.085135
0.400000, 353.000000, 30.003173, 0.094595
0.410000, 316.000000, 26.390513, 0.117568
0.420000, 272.000000, 23.979317, 0.129054
0.430000, 241.000000, 20.739528, 0.150000
0.440000, 217.000000, 17.390503, 0.179730
0.450000, 187.000000, 14.183981, 0.213514
0.460000, 165.000000, 12.489474, 0.229054
0.470000, 140.000000, 10.058335, 0.250676
0.480000, 130.000000, 8.666428, 0.285135
0.490000, 114.000000, 7.186095, 0.327703
0.500000, 102.000000, 5.838362, 0.315541
0.510000, 89.000000, 5.122639, 0.344595
0.520000, 82.000000, 4.219595, 0.362162
0.530000, 69.000000, 3.366448, 0.381757
0.540000, 61.000000, 2.942510, 0.384459
0.550000, 58.000000, 2.431945, 0.363514
0.560000, 53.000000, 2.209989, 0.381757
0.570000, 45.000000, 1.809247, 0.389189
0.580000, 41.000000, 1.665922, 0.409459
0.590000, 38.000000, 1.427089, 0.418919
0.600000, 33.000000, 1.239249, 0.417568
0.610000, 30.000000, 1.116271, 0.445270
0.620000, 27.000000, 0.983689, 0.425676
0.630000, 26.000000, 0.851762, 0.437838
0.640000, 23.000000, 0.870753, 0.427027
0.650000, 22.000000, 0.842865, 0.445270
0.660000, 20.000000, 0.675707, 0.462838
0.670000, 19.000000, 0.675471, 0.468243
0.680000, 18.000000, 0.586295, 0.453378
0.690000, 15.000000, 0.560029, 0.451351
0.700000, 14.000000, 0.507712, 0.459459
0.710000, 13.000000, 0.553531, 0.483108
0.720000, 13.000000, 0.608318, 0.465541
0.730000, 11.000000, 0.447869, 0.473649
0.740000, 11.000000, 0.463735, 0.480405
0.750000, 11.000000, 0.454926, 0.483108
0.760000, 9.000000, 0.403942, 0.483784
0.770000, 9.000000, 0.464128, 0.486486
0.780000, 8.000000, 0.350948, 0.476351
0.790000, 7.000000, 0.403480, 0.474324
0.800000, 7.000000, 0.371788, 0.473649
0.810000, 7.000000, 0.343784, 0.482432
0.820000, 6.000000, 0.328156, 0.485135
0.830000, 6.000000, 0.304248, 0.479730
0.840000, 5.000000, 0.304650, 0.478378
0.850000, 5.000000, 0.300848, 0.480405
0.860000, 5.000000, 0.341510, 0.468243
0.870000, 5.000000, 0.288777, 0.480405
0.880000, 5.000000, 0.275809, 0.492568
0.890000, 5.000000, 0.283077, 0.492568
0.900000, 4.000000, 0.265908, 0.491892
0.910000, 4.000000, 0.276384, 0.491892
0.920000, 4.000000, 0.268362, 0.485811
0.930000, 4.000000, 0.275070, 0.490541
0.940000, 3.000000, 0.262543, 0.492568
0.950000, 3.000000, 0.260547, 0.492568
0.960000, 3.000000, 0.261634, 0.493243
0.970000, 3.000000, 0.291023, 0.480405
0.980000, 3.000000, 0.280445, 0.486486
0.990000, 3.000000, 0.272760, 0.497297
