teta, No hyperboxes, Training time, Testing error
0.010000, 5920.000000, 149.658616, 0.055405
0.020000, 5920.000000, 146.751099, 0.055405
0.030000, 5920.000000, 148.268621, 0.055405
0.040000, 5920.000000, 145.275984, 0.055405
0.050000, 5920.000000, 147.769748, 0.055405
0.060000, 5920.000000, 148.544500, 0.055405
0.070000, 5920.000000, 147.164046, 0.055405
0.080000, 5920.000000, 148.686532, 0.055405
0.090000, 5919.000000, 148.813470, 0.054730
0.100000, 5919.000000, 148.668876, 0.054730
0.110000, 5916.000000, 148.687310, 0.054730
0.120000, 5909.000000, 144.764403, 0.053378
0.130000, 5868.000000, 148.763593, 0.050000
0.140000, 5779.000000, 148.687228, 0.063514
0.150000, 5598.000000, 148.802496, 0.058784
0.160000, 5327.000000, 146.516427, 0.056081
0.170000, 4950.000000, 128.883101, 0.057432
0.180000, 4575.000000, 129.317311, 0.052703
0.190000, 4125.000000, 121.319597, 0.052027
0.200000, 3736.000000, 115.478383, 0.052703
0.210000, 3336.000000, 111.876912, 0.043243
0.220000, 3014.000000, 104.775471, 0.047973
0.230000, 2710.000000, 99.103092, 0.046622
0.240000, 2453.000000, 93.348010, 0.045946
0.250000, 2204.000000, 86.482075, 0.053378
0.260000, 1952.000000, 80.512519, 0.053378
0.270000, 1769.000000, 75.193595, 0.050000
0.280000, 1576.000000, 70.031922, 0.051351
0.290000, 1411.000000, 65.869127, 0.039865
0.300000, 1242.000000, 61.624184, 0.045270
0.310000, 1102.000000, 58.001260, 0.042568
0.320000, 987.000000, 54.706974, 0.043919
0.330000, 866.000000, 51.434222, 0.049324
0.340000, 768.000000, 48.404204, 0.042568
0.350000, 673.000000, 45.039622, 0.052027
0.360000, 598.000000, 41.437021, 0.056757
0.370000, 527.000000, 37.925129, 0.068243
0.380000, 455.000000, 34.112568, 0.076351
0.390000, 408.000000, 30.592858, 0.085135
0.400000, 353.000000, 26.807162, 0.094595
0.410000, 316.000000, 23.705000, 0.117568
0.420000, 272.000000, 21.005260, 0.129054
0.430000, 241.000000, 17.925465, 0.150000
0.440000, 217.000000, 15.787929, 0.179730
0.450000, 187.000000, 13.186867, 0.213514
0.460000, 165.000000, 11.500956, 0.229054
0.470000, 140.000000, 9.420763, 0.250676
0.480000, 130.000000, 8.136186, 0.285135
0.490000, 114.000000, 6.812856, 0.327703
0.500000, 102.000000, 5.597480, 0.315541
0.510000, 89.000000, 4.978713, 0.344595
0.520000, 82.000000, 4.260197, 0.362162
0.530000, 69.000000, 3.470523, 0.381757
0.540000, 61.000000, 3.114527, 0.384459
0.550000, 58.000000, 2.653422, 0.363514
0.560000, 53.000000, 2.441882, 0.381757
0.570000, 45.000000, 2.090372, 0.389189
0.580000, 41.000000, 1.854514, 0.409459
0.590000, 38.000000, 1.728894, 0.418919
0.600000, 33.000000, 1.553178, 0.417568
0.610000, 30.000000, 1.372475, 0.445270
0.620000, 27.000000, 1.305893, 0.425676
0.630000, 26.000000, 1.205039, 0.437838
0.640000, 23.000000, 1.181287, 0.427027
0.650000, 22.000000, 1.146190, 0.445270
0.660000, 20.000000, 0.980548, 0.462838
0.670000, 19.000000, 0.954444, 0.468243
0.680000, 18.000000, 0.912573, 0.453378
0.690000, 15.000000, 0.888393, 0.451351
0.700000, 14.000000, 0.850321, 0.459459
0.710000, 13.000000, 0.789651, 0.483108
0.720000, 13.000000, 0.811120, 0.465541
0.730000, 11.000000, 0.778276, 0.473649
0.740000, 11.000000, 0.780692, 0.480405
0.750000, 11.000000, 0.737922, 0.483108
0.760000, 9.000000, 0.711449, 0.483784
0.770000, 9.000000, 0.707547, 0.486486
0.780000, 8.000000, 0.696144, 0.476351
0.790000, 7.000000, 0.728643, 0.474324
0.800000, 7.000000, 0.699855, 0.473649
0.810000, 7.000000, 0.668226, 0.482432
0.820000, 6.000000, 0.653019, 0.485135
0.830000, 6.000000, 0.644949, 0.479730
0.840000, 5.000000, 0.633605, 0.478378
0.850000, 5.000000, 0.631361, 0.480405
0.860000, 5.000000, 0.659143, 0.468243
0.870000, 5.000000, 0.624230, 0.480405
0.880000, 5.000000, 0.617745, 0.492568
0.890000, 5.000000, 0.608936, 0.492568
0.900000, 4.000000, 0.601370, 0.491892
0.910000, 4.000000, 0.593693, 0.491892
0.920000, 4.000000, 0.592155, 0.485811
0.930000, 4.000000, 0.602175, 0.490541
0.940000, 3.000000, 0.593925, 0.492568
0.950000, 3.000000, 0.589574, 0.492568
0.960000, 3.000000, 0.590004, 0.493243
0.970000, 3.000000, 0.616451, 0.480405
0.980000, 3.000000, 0.607969, 0.486486
0.990000, 3.000000, 0.587625, 0.497297
