teta, No hyperboxes, Training time, Testing error
0.010000, 4001.000000, 23.907524, 0.248248
0.020000, 4001.000000, 24.040021, 0.248248
0.030000, 4001.000000, 24.156348, 0.248248
0.040000, 4001.000000, 24.548607, 0.248248
0.050000, 4001.000000, 24.361398, 0.248248
0.060000, 4001.000000, 24.508002, 0.248248
0.070000, 4001.000000, 24.181529, 0.248248
0.080000, 4001.000000, 24.531830, 0.248248
0.090000, 4001.000000, 24.316290, 0.248248
0.100000, 4000.000000, 24.329831, 0.249249
0.110000, 3998.000000, 32.593041, 0.250250
0.120000, 3987.000000, 35.883034, 0.251251
0.130000, 3963.000000, 26.101471, 0.246246
0.140000, 3905.000000, 28.312352, 0.243243
0.150000, 3768.000000, 31.481650, 0.236236
0.160000, 3568.000000, 36.207500, 0.222222
0.170000, 3311.000000, 40.137848, 0.208208
0.180000, 3028.000000, 43.805056, 0.219219
0.190000, 2718.000000, 46.869279, 0.202202
0.200000, 2467.000000, 46.286945, 0.222222
0.210000, 2195.000000, 46.345579, 0.221221
0.220000, 1976.000000, 44.421464, 0.204204
0.230000, 1773.000000, 43.177844, 0.216216
0.240000, 1566.000000, 41.161227, 0.228228
0.250000, 1399.000000, 38.836178, 0.201201
0.260000, 1247.000000, 36.238109, 0.198198
0.270000, 1120.000000, 41.476916, 0.215215
0.280000, 984.000000, 32.617221, 0.189189
0.290000, 876.000000, 29.994923, 0.198198
0.300000, 778.000000, 28.107037, 0.186186
0.310000, 683.000000, 26.853057, 0.187187
0.320000, 611.000000, 24.807243, 0.191191
0.330000, 535.000000, 22.373485, 0.180180
0.340000, 467.000000, 20.800591, 0.214214
0.350000, 429.000000, 19.147238, 0.203203
0.360000, 366.000000, 17.429614, 0.200200
0.370000, 331.000000, 15.628579, 0.208208
0.380000, 289.000000, 14.028889, 0.226226
0.390000, 260.000000, 12.729704, 0.222222
0.400000, 235.000000, 11.536451, 0.252252
0.410000, 203.000000, 10.037262, 0.268268
0.420000, 186.000000, 8.863870, 0.262262
0.430000, 163.000000, 7.739390, 0.285285
0.440000, 147.000000, 6.851632, 0.292292
0.450000, 127.000000, 5.826848, 0.294294
0.460000, 117.000000, 5.159048, 0.315315
0.470000, 107.000000, 4.389317, 0.319319
0.480000, 98.000000, 3.979204, 0.299299
0.490000, 89.000000, 3.496807, 0.345345
0.500000, 78.000000, 2.845259, 0.332332
0.510000, 71.000000, 2.722201, 0.358358
0.520000, 64.000000, 2.250979, 0.381381
0.530000, 62.000000, 2.228678, 0.372372
0.540000, 55.000000, 1.836293, 0.358358
0.550000, 50.000000, 1.597919, 0.363363
0.560000, 46.000000, 1.537201, 0.392392
0.570000, 42.000000, 1.282998, 0.393393
0.580000, 42.000000, 1.147967, 0.423423
0.590000, 35.000000, 1.020231, 0.420420
0.600000, 33.000000, 0.974045, 0.401401
0.610000, 30.000000, 0.867835, 0.388388
0.620000, 31.000000, 0.843440, 0.428428
0.630000, 28.000000, 0.763842, 0.421421
0.640000, 26.000000, 0.689850, 0.445445
0.650000, 26.000000, 0.642125, 0.454454
0.660000, 20.000000, 0.572556, 0.435435
0.670000, 19.000000, 0.543044, 0.448448
0.680000, 20.000000, 0.528073, 0.467467
0.690000, 20.000000, 0.505230, 0.465465
0.700000, 17.000000, 0.464990, 0.458458
0.710000, 17.000000, 0.452348, 0.460460
0.720000, 16.000000, 0.410512, 0.452452
0.730000, 14.000000, 0.374657, 0.475475
0.740000, 15.000000, 0.386526, 0.464464
0.750000, 13.000000, 0.349255, 0.473473
0.760000, 14.000000, 0.363002, 0.475475
0.770000, 12.000000, 0.356866, 0.470470
0.780000, 11.000000, 0.327629, 0.480480
0.790000, 11.000000, 0.310118, 0.504505
0.800000, 11.000000, 0.309691, 0.471471
0.810000, 12.000000, 0.316277, 0.552553
0.820000, 10.000000, 0.313286, 0.545546
0.830000, 11.000000, 0.304855, 0.549550
0.840000, 9.000000, 0.265141, 0.555556
0.850000, 10.000000, 0.275972, 0.566567
0.860000, 10.000000, 0.271810, 0.519520
0.870000, 10.000000, 0.276630, 0.523524
0.880000, 9.000000, 0.273235, 0.536537
0.890000, 9.000000, 0.297102, 0.577578
0.900000, 8.000000, 0.231920, 0.590591
0.910000, 8.000000, 0.230077, 0.591592
0.920000, 7.000000, 0.214827, 0.593594
0.930000, 7.000000, 0.242608, 0.590591
0.940000, 7.000000, 0.247722, 0.615616
0.950000, 7.000000, 0.228964, 0.616617
0.960000, 7.000000, 0.212850, 0.614615
0.970000, 5.000000, 0.209023, 0.614615
0.980000, 5.000000, 0.225095, 0.628629
0.990000, 5.000000, 0.199006, 0.631632
