teta, No hyperboxes, Training time, Testing error
0.010000, 4001.000000, 52.414646, 0.248248
0.020000, 4001.000000, 55.007257, 0.248248
0.030000, 4001.000000, 52.187948, 0.248248
0.040000, 4001.000000, 52.506160, 0.248248
0.050000, 4001.000000, 54.902093, 0.248248
0.060000, 4001.000000, 52.278568, 0.248248
0.070000, 4001.000000, 52.156829, 0.248248
0.080000, 4001.000000, 52.214095, 0.248248
0.090000, 4001.000000, 52.322132, 0.248248
0.100000, 4000.000000, 52.171414, 0.249249
0.110000, 3998.000000, 52.175675, 0.250250
0.120000, 3987.000000, 52.186199, 0.251251
0.130000, 3963.000000, 51.308806, 0.246246
0.140000, 3905.000000, 53.278540, 0.243243
0.150000, 3768.000000, 53.495491, 0.236236
0.160000, 3568.000000, 55.700725, 0.222222
0.170000, 3311.000000, 55.964422, 0.208208
0.180000, 3028.000000, 54.658560, 0.219219
0.190000, 2718.000000, 53.807979, 0.202202
0.200000, 2467.000000, 51.916715, 0.222222
0.210000, 2195.000000, 49.447338, 0.221221
0.220000, 1976.000000, 46.680185, 0.204204
0.230000, 1773.000000, 43.555445, 0.216216
0.240000, 1566.000000, 40.486221, 0.228228
0.250000, 1399.000000, 37.928771, 0.201201
0.260000, 1247.000000, 35.032346, 0.198198
0.270000, 1120.000000, 32.790544, 0.215215
0.280000, 984.000000, 30.341419, 0.189189
0.290000, 876.000000, 27.928820, 0.198198
0.300000, 778.000000, 25.790307, 0.186186
0.310000, 683.000000, 24.125176, 0.187187
0.320000, 611.000000, 22.245917, 0.191191
0.330000, 535.000000, 20.429501, 0.180180
0.340000, 467.000000, 18.534869, 0.214214
0.350000, 429.000000, 17.404973, 0.203203
0.360000, 366.000000, 15.364902, 0.200200
0.370000, 331.000000, 14.215143, 0.208208
0.380000, 289.000000, 12.597869, 0.226226
0.390000, 260.000000, 11.478605, 0.222222
0.400000, 235.000000, 10.471342, 0.252252
0.410000, 203.000000, 9.032889, 0.268268
0.420000, 186.000000, 8.080855, 0.262262
0.430000, 163.000000, 7.114379, 0.285285
0.440000, 147.000000, 6.328207, 0.292292
0.450000, 127.000000, 5.233074, 0.294294
0.460000, 117.000000, 4.895077, 0.315315
0.470000, 107.000000, 4.190258, 0.319319
0.480000, 98.000000, 3.845561, 0.299299
0.490000, 89.000000, 3.413045, 0.345345
0.500000, 78.000000, 2.863793, 0.332332
0.510000, 71.000000, 2.686149, 0.358358
0.520000, 64.000000, 2.326456, 0.381381
0.530000, 62.000000, 2.259060, 0.372372
0.540000, 55.000000, 1.945293, 0.358358
0.550000, 50.000000, 1.733650, 0.363363
0.560000, 46.000000, 1.676356, 0.392392
0.570000, 42.000000, 1.440405, 0.393393
0.580000, 42.000000, 1.343216, 0.423423
0.590000, 35.000000, 1.202738, 0.420420
0.600000, 33.000000, 1.168414, 0.401401
0.610000, 30.000000, 1.097726, 0.388388
0.620000, 31.000000, 1.039525, 0.428428
0.630000, 28.000000, 0.981345, 0.421421
0.640000, 26.000000, 0.897140, 0.445445
0.650000, 26.000000, 0.847434, 0.454454
0.660000, 20.000000, 0.783588, 0.435435
0.670000, 19.000000, 0.754624, 0.448448
0.680000, 20.000000, 0.747645, 0.467467
0.690000, 20.000000, 0.713669, 0.465465
0.700000, 17.000000, 0.674291, 0.458458
0.710000, 17.000000, 0.643637, 0.460460
0.720000, 16.000000, 0.633691, 0.452452
0.730000, 14.000000, 0.611253, 0.475475
0.740000, 15.000000, 0.614952, 0.464464
0.750000, 13.000000, 0.580004, 0.473473
0.760000, 14.000000, 0.596573, 0.475475
0.770000, 12.000000, 0.575299, 0.470470
0.780000, 11.000000, 0.568935, 0.480480
0.790000, 11.000000, 0.557710, 0.504505
0.800000, 11.000000, 0.554323, 0.471471
0.810000, 12.000000, 0.555317, 0.552553
0.820000, 10.000000, 0.569210, 0.545546
0.830000, 11.000000, 0.548278, 0.549550
0.840000, 9.000000, 0.494858, 0.555556
0.850000, 10.000000, 0.519108, 0.566567
0.860000, 10.000000, 0.509903, 0.519520
0.870000, 10.000000, 0.500766, 0.523524
0.880000, 9.000000, 0.503328, 0.536537
0.890000, 9.000000, 0.485273, 0.577578
0.900000, 8.000000, 0.473622, 0.590591
0.910000, 8.000000, 0.470700, 0.591592
0.920000, 7.000000, 0.459827, 0.593594
0.930000, 7.000000, 0.464503, 0.590591
0.940000, 7.000000, 0.470480, 0.615616
0.950000, 7.000000, 0.468218, 0.616617
0.960000, 7.000000, 0.470668, 0.614615
0.970000, 5.000000, 0.456544, 0.614615
0.980000, 5.000000, 0.449990, 0.628629
0.990000, 5.000000, 0.455242, 0.631632
