teta, No hyperboxes, Training time, Testing error
0.010000, 142.000000, 0.057738, 0.000000
0.020000, 142.000000, 0.037829, 0.000000
0.030000, 142.000000, 0.036711, 0.000000
0.040000, 142.000000, 0.037032, 0.000000
0.050000, 142.000000, 0.036759, 0.000000
0.060000, 142.000000, 0.063203, 0.000000
0.070000, 142.000000, 0.039347, 0.000000
0.080000, 142.000000, 0.037293, 0.000000
0.090000, 142.000000, 0.037357, 0.000000
0.100000, 141.000000, 0.037166, 0.000000
0.110000, 141.000000, 0.038007, 0.000000
0.120000, 141.000000, 0.042762, 0.000000
0.130000, 141.000000, 0.092435, 0.000000
0.140000, 133.000000, 0.057643, 0.000000
0.150000, 131.000000, 0.043936, 0.000000
0.160000, 129.000000, 0.065139, 0.000000
0.170000, 125.000000, 0.059355, 0.000000
0.180000, 120.000000, 0.047902, 0.000000
0.190000, 115.000000, 0.049825, 0.000000
0.200000, 110.000000, 0.055081, 0.000000
0.210000, 99.000000, 0.059490, 0.000000
0.220000, 93.000000, 0.061271, 0.000000
0.230000, 89.000000, 0.061869, 0.000000
0.240000, 88.000000, 0.065494, 0.000000
0.250000, 81.000000, 0.062663, 0.000000
0.260000, 80.000000, 0.059984, 0.000000
0.270000, 74.000000, 0.065476, 0.000000
0.280000, 71.000000, 0.060401, 0.000000
0.290000, 65.000000, 0.056969, 0.027778
0.300000, 62.000000, 0.059285, 0.000000
0.310000, 57.000000, 0.061928, 0.027778
0.320000, 53.000000, 0.063527, 0.027778
0.330000, 51.000000, 0.050421, 0.027778
0.340000, 47.000000, 0.046388, 0.027778
0.350000, 42.000000, 0.044045, 0.027778
0.360000, 41.000000, 0.046531, 0.000000
0.370000, 42.000000, 0.045515, 0.000000
0.380000, 40.000000, 0.069045, 0.000000
0.390000, 38.000000, 0.097778, 0.000000
0.400000, 37.000000, 0.044512, 0.027778
0.410000, 36.000000, 0.042760, 0.027778
0.420000, 36.000000, 0.043000, 0.027778
0.430000, 33.000000, 0.041812, 0.000000
0.440000, 31.000000, 0.049705, 0.000000
0.450000, 31.000000, 0.039436, 0.000000
0.460000, 30.000000, 0.037671, 0.055556
0.470000, 29.000000, 0.037702, 0.000000
0.480000, 26.000000, 0.036513, 0.000000
0.490000, 26.000000, 0.036586, 0.027778
0.500000, 22.000000, 0.032684, 0.027778
0.510000, 22.000000, 0.047089, 0.027778
0.520000, 21.000000, 0.030541, 0.027778
0.530000, 21.000000, 0.030229, 0.027778
0.540000, 20.000000, 0.030824, 0.027778
0.550000, 19.000000, 0.029959, 0.055556
0.560000, 19.000000, 0.029976, 0.055556
0.570000, 18.000000, 0.029085, 0.027778
0.580000, 17.000000, 0.027458, 0.027778
0.590000, 17.000000, 0.026921, 0.055556
0.600000, 17.000000, 0.026016, 0.055556
0.610000, 15.000000, 0.025545, 0.000000
0.620000, 15.000000, 0.023435, 0.027778
0.630000, 15.000000, 0.023537, 0.027778
0.640000, 13.000000, 0.022534, 0.027778
0.650000, 12.000000, 0.022849, 0.000000
0.660000, 13.000000, 0.019880, 0.055556
0.670000, 12.000000, 0.020005, 0.000000
0.680000, 11.000000, 0.019442, 0.000000
0.690000, 11.000000, 0.018736, 0.055556
0.700000, 11.000000, 0.018934, 0.055556
0.710000, 10.000000, 0.018553, 0.055556
0.720000, 10.000000, 0.023069, 0.055556
0.730000, 10.000000, 0.016316, 0.055556
0.740000, 9.000000, 0.015263, 0.000000
0.750000, 8.000000, 0.014716, 0.000000
0.760000, 8.000000, 0.015219, 0.027778
0.770000, 8.000000, 0.019631, 0.027778
0.780000, 8.000000, 0.015187, 0.027778
0.790000, 8.000000, 0.015300, 0.027778
0.800000, 6.000000, 0.013693, 0.111111
0.810000, 6.000000, 0.013884, 0.111111
0.820000, 6.000000, 0.013684, 0.027778
0.830000, 6.000000, 0.013614, 0.027778
0.840000, 6.000000, 0.013632, 0.083333
0.850000, 6.000000, 0.012863, 0.083333
0.860000, 6.000000, 0.012900, 0.083333
0.870000, 5.000000, 0.013274, 0.055556
0.880000, 5.000000, 0.013046, 0.055556
0.890000, 5.000000, 0.012907, 0.055556
0.900000, 5.000000, 0.012877, 0.055556
0.910000, 5.000000, 0.013011, 0.055556
0.920000, 6.000000, 0.012960, 0.083333
0.930000, 5.000000, 0.012027, 0.083333
0.940000, 4.000000, 0.015652, 0.083333
0.950000, 4.000000, 0.020121, 0.083333
0.960000, 4.000000, 0.020209, 0.083333
0.970000, 4.000000, 0.017331, 0.083333
0.980000, 4.000000, 0.020094, 0.083333
0.990000, 4.000000, 0.019906, 0.055556
