teta, No hyperboxes, Training time, Testing error
0.010000, 142.000000, 0.078221, 0.000000
0.020000, 142.000000, 0.076308, 0.000000
0.030000, 142.000000, 0.073284, 0.000000
0.040000, 142.000000, 0.072871, 0.000000
0.050000, 142.000000, 0.074067, 0.000000
0.060000, 142.000000, 0.075412, 0.000000
0.070000, 142.000000, 0.076242, 0.000000
0.080000, 142.000000, 0.074047, 0.000000
0.090000, 142.000000, 0.074784, 0.000000
0.100000, 141.000000, 0.073223, 0.000000
0.110000, 141.000000, 0.075680, 0.000000
0.120000, 141.000000, 0.074776, 0.000000
0.130000, 141.000000, 0.072327, 0.000000
0.140000, 133.000000, 0.073971, 0.000000
0.150000, 131.000000, 0.075972, 0.000000
0.160000, 129.000000, 0.080850, 0.000000
0.170000, 125.000000, 0.081384, 0.000000
0.180000, 120.000000, 0.076516, 0.000000
0.190000, 115.000000, 0.073598, 0.000000
0.200000, 110.000000, 0.084477, 0.000000
0.210000, 99.000000, 0.081650, 0.000000
0.220000, 93.000000, 0.079260, 0.000000
0.230000, 89.000000, 0.078299, 0.000000
0.240000, 88.000000, 0.081207, 0.000000
0.250000, 81.000000, 0.080974, 0.000000
0.260000, 80.000000, 0.076450, 0.000000
0.270000, 74.000000, 0.078147, 0.000000
0.280000, 71.000000, 0.073868, 0.000000
0.290000, 65.000000, 0.065281, 0.027778
0.300000, 62.000000, 0.066174, 0.000000
0.310000, 57.000000, 0.063251, 0.027778
0.320000, 53.000000, 0.059872, 0.027778
0.330000, 51.000000, 0.057688, 0.027778
0.340000, 47.000000, 0.055625, 0.027778
0.350000, 42.000000, 0.052996, 0.027778
0.360000, 41.000000, 0.057216, 0.000000
0.370000, 42.000000, 0.057952, 0.000000
0.380000, 40.000000, 0.054231, 0.000000
0.390000, 38.000000, 0.052507, 0.000000
0.400000, 37.000000, 0.051462, 0.027778
0.410000, 36.000000, 0.050133, 0.027778
0.420000, 36.000000, 0.050281, 0.027778
0.430000, 33.000000, 0.049481, 0.000000
0.440000, 31.000000, 0.047005, 0.000000
0.450000, 31.000000, 0.046987, 0.000000
0.460000, 30.000000, 0.043746, 0.055556
0.470000, 29.000000, 0.044531, 0.000000
0.480000, 26.000000, 0.043565, 0.000000
0.490000, 26.000000, 0.043042, 0.027778
0.500000, 22.000000, 0.040793, 0.027778
0.510000, 22.000000, 0.040405, 0.027778
0.520000, 21.000000, 0.037904, 0.027778
0.530000, 21.000000, 0.037290, 0.027778
0.540000, 20.000000, 0.037961, 0.027778
0.550000, 19.000000, 0.037517, 0.055556
0.560000, 19.000000, 0.037472, 0.055556
0.570000, 18.000000, 0.036525, 0.027778
0.580000, 17.000000, 0.033335, 0.027778
0.590000, 17.000000, 0.033713, 0.055556
0.600000, 17.000000, 0.033020, 0.055556
0.610000, 15.000000, 0.031767, 0.000000
0.620000, 15.000000, 0.030231, 0.027778
0.630000, 15.000000, 0.032089, 0.027778
0.640000, 13.000000, 0.029328, 0.027778
0.650000, 12.000000, 0.028363, 0.000000
0.660000, 13.000000, 0.028647, 0.055556
0.670000, 12.000000, 0.027917, 0.000000
0.680000, 11.000000, 0.028109, 0.000000
0.690000, 11.000000, 0.026757, 0.055556
0.700000, 11.000000, 0.027866, 0.055556
0.710000, 10.000000, 0.025828, 0.055556
0.720000, 10.000000, 0.025396, 0.055556
0.730000, 10.000000, 0.023354, 0.055556
0.740000, 9.000000, 0.022331, 0.000000
0.750000, 8.000000, 0.022239, 0.000000
0.760000, 8.000000, 0.022433, 0.027778
0.770000, 8.000000, 0.023140, 0.027778
0.780000, 8.000000, 0.022311, 0.027778
0.790000, 8.000000, 0.022107, 0.027778
0.800000, 6.000000, 0.022010, 0.111111
0.810000, 6.000000, 0.021198, 0.111111
0.820000, 6.000000, 0.020652, 0.027778
0.830000, 6.000000, 0.020999, 0.027778
0.840000, 6.000000, 0.021062, 0.083333
0.850000, 6.000000, 0.020489, 0.083333
0.860000, 6.000000, 0.020403, 0.083333
0.870000, 5.000000, 0.019859, 0.055556
0.880000, 5.000000, 0.020033, 0.055556
0.890000, 5.000000, 0.020377, 0.055556
0.900000, 5.000000, 0.020265, 0.055556
0.910000, 5.000000, 0.020779, 0.055556
0.920000, 6.000000, 0.019596, 0.083333
0.930000, 5.000000, 0.019386, 0.083333
0.940000, 4.000000, 0.019053, 0.083333
0.950000, 4.000000, 0.018964, 0.083333
0.960000, 4.000000, 0.018713, 0.083333
0.970000, 4.000000, 0.019463, 0.083333
0.980000, 4.000000, 0.018853, 0.083333
0.990000, 4.000000, 0.018668, 0.055556
