teta, No hyperboxes, Training time, Testing error
0.010000, 1167.000000, 1.754981, 0.453020
0.020000, 1164.000000, 1.738826, 0.453020
0.030000, 1130.000000, 1.999167, 0.442953
0.040000, 1082.000000, 2.451455, 0.439597
0.050000, 1013.000000, 2.677417, 0.439597
0.060000, 895.000000, 3.090063, 0.432886
0.070000, 792.000000, 3.256760, 0.419463
0.080000, 730.000000, 3.350940, 0.439597
0.090000, 628.000000, 3.342211, 0.416107
0.100000, 587.000000, 3.210870, 0.402685
0.110000, 514.000000, 3.014125, 0.406040
0.120000, 460.000000, 2.783504, 0.399329
0.130000, 408.000000, 2.487443, 0.412752
0.140000, 354.000000, 2.355488, 0.385906
0.150000, 334.000000, 2.085781, 0.389262
0.160000, 300.000000, 1.890304, 0.365772
0.170000, 274.000000, 1.713048, 0.355705
0.180000, 243.000000, 1.565203, 0.348993
0.190000, 230.000000, 1.501328, 0.359060
0.200000, 216.000000, 1.409445, 0.372483
0.210000, 191.000000, 1.274791, 0.335570
0.220000, 183.000000, 1.175641, 0.308725
0.230000, 171.000000, 1.053823, 0.281879
0.240000, 159.000000, 0.988402, 0.281879
0.250000, 141.000000, 0.920422, 0.251678
0.260000, 132.000000, 0.846330, 0.231544
0.270000, 123.000000, 0.808119, 0.218121
0.280000, 110.000000, 0.751579, 0.241611
0.290000, 111.000000, 0.724812, 0.248322
0.300000, 104.000000, 0.677939, 0.208054
0.310000, 97.000000, 0.646163, 0.218121
0.320000, 93.000000, 0.610701, 0.194631
0.330000, 85.000000, 0.544174, 0.194631
0.340000, 82.000000, 0.556004, 0.187919
0.350000, 77.000000, 0.496552, 0.171141
0.360000, 74.000000, 0.502009, 0.208054
0.370000, 70.000000, 0.488536, 0.174497
0.380000, 65.000000, 0.459344, 0.184564
0.390000, 61.000000, 0.418665, 0.171141
0.400000, 57.000000, 0.416428, 0.184564
0.410000, 51.000000, 0.386684, 0.151007
0.420000, 53.000000, 0.383793, 0.161074
0.430000, 52.000000, 0.357878, 0.167785
0.440000, 49.000000, 0.391322, 0.151007
0.450000, 47.000000, 0.349037, 0.151007
0.460000, 49.000000, 0.371390, 0.130872
0.470000, 47.000000, 0.340650, 0.110738
0.480000, 43.000000, 0.284365, 0.117450
0.490000, 43.000000, 0.284511, 0.110738
0.500000, 41.000000, 0.310771, 0.107383
0.510000, 39.000000, 0.278784, 0.114094
0.520000, 39.000000, 0.290400, 0.107383
0.530000, 38.000000, 0.290608, 0.107383
0.540000, 39.000000, 0.291533, 0.100671
0.550000, 38.000000, 0.301341, 0.114094
0.560000, 36.000000, 0.262633, 0.107383
0.570000, 36.000000, 0.247344, 0.104027
0.580000, 34.000000, 0.197542, 0.100671
0.590000, 32.000000, 0.190003, 0.093960
0.600000, 32.000000, 0.189432, 0.090604
0.610000, 31.000000, 0.165376, 0.087248
0.620000, 31.000000, 0.162822, 0.090604
0.630000, 30.000000, 0.180389, 0.087248
0.640000, 28.000000, 0.117050, 0.087248
0.650000, 28.000000, 0.120230, 0.087248
0.660000, 28.000000, 0.129379, 0.093960
0.670000, 28.000000, 0.123354, 0.097315
0.680000, 28.000000, 0.115427, 0.097315
0.690000, 25.000000, 0.111179, 0.080537
0.700000, 24.000000, 0.109559, 0.080537
0.710000, 24.000000, 0.105705, 0.080537
0.720000, 22.000000, 0.095438, 0.077181
0.730000, 22.000000, 0.097189, 0.077181
0.740000, 21.000000, 0.091244, 0.077181
0.750000, 21.000000, 0.089633, 0.080537
0.760000, 21.000000, 0.091166, 0.080537
0.770000, 21.000000, 0.120995, 0.080537
0.780000, 20.000000, 0.083551, 0.077181
0.790000, 20.000000, 0.086043, 0.077181
0.800000, 18.000000, 0.078350, 0.073826
0.810000, 18.000000, 0.079333, 0.073826
0.820000, 18.000000, 0.101444, 0.073826
0.830000, 18.000000, 0.078577, 0.073826
0.840000, 18.000000, 0.078219, 0.073826
0.850000, 18.000000, 0.086613, 0.073826
0.860000, 18.000000, 0.077980, 0.073826
0.870000, 18.000000, 0.083437, 0.073826
0.880000, 18.000000, 0.079812, 0.070470
0.890000, 18.000000, 0.078658, 0.070470
0.900000, 18.000000, 0.080361, 0.070470
0.910000, 18.000000, 0.094594, 0.070470
0.920000, 18.000000, 0.077942, 0.070470
0.930000, 18.000000, 0.090299, 0.070470
0.940000, 18.000000, 0.077678, 0.070470
0.950000, 17.000000, 0.074561, 0.070470
0.960000, 17.000000, 0.075336, 0.070470
0.970000, 17.000000, 0.074931, 0.070470
0.980000, 17.000000, 0.074260, 0.070470
0.990000, 17.000000, 0.073087, 0.070470
