teta, No hyperboxes, Training time, Testing error
0.010000, 1167.000000, 3.770896, 0.453020
0.020000, 1164.000000, 3.732086, 0.453020
0.030000, 1130.000000, 3.860624, 0.442953
0.040000, 1082.000000, 3.955408, 0.439597
0.050000, 1013.000000, 4.128228, 0.439597
0.060000, 895.000000, 4.254757, 0.432886
0.070000, 792.000000, 4.241543, 0.419463
0.080000, 730.000000, 4.118212, 0.439597
0.090000, 628.000000, 3.729262, 0.416107
0.100000, 587.000000, 3.693904, 0.402685
0.110000, 514.000000, 3.322006, 0.406040
0.120000, 460.000000, 3.081108, 0.399329
0.130000, 408.000000, 2.714987, 0.412752
0.140000, 354.000000, 2.411778, 0.385906
0.150000, 334.000000, 2.215642, 0.389262
0.160000, 300.000000, 2.001640, 0.365772
0.170000, 274.000000, 1.793065, 0.355705
0.180000, 243.000000, 1.634638, 0.348993
0.190000, 230.000000, 1.605301, 0.359060
0.200000, 216.000000, 1.405848, 0.372483
0.210000, 191.000000, 1.360679, 0.335570
0.220000, 183.000000, 1.278315, 0.308725
0.230000, 171.000000, 1.126167, 0.281879
0.240000, 159.000000, 1.065568, 0.281879
0.250000, 141.000000, 0.965674, 0.251678
0.260000, 132.000000, 0.907693, 0.231544
0.270000, 123.000000, 0.880535, 0.218121
0.280000, 110.000000, 0.802096, 0.241611
0.290000, 111.000000, 0.858088, 0.248322
0.300000, 104.000000, 0.724802, 0.208054
0.310000, 97.000000, 0.698512, 0.218121
0.320000, 93.000000, 0.669662, 0.194631
0.330000, 85.000000, 0.597302, 0.194631
0.340000, 82.000000, 0.595126, 0.187919
0.350000, 77.000000, 0.555303, 0.171141
0.360000, 74.000000, 0.554462, 0.208054
0.370000, 70.000000, 0.546361, 0.174497
0.380000, 65.000000, 0.522991, 0.184564
0.390000, 61.000000, 0.494587, 0.171141
0.400000, 57.000000, 0.508818, 0.184564
0.410000, 51.000000, 0.517398, 0.151007
0.420000, 53.000000, 0.491992, 0.161074
0.430000, 52.000000, 0.458564, 0.167785
0.440000, 49.000000, 0.473888, 0.151007
0.450000, 47.000000, 0.449135, 0.151007
0.460000, 49.000000, 0.453177, 0.130872
0.470000, 47.000000, 0.423197, 0.110738
0.480000, 43.000000, 0.391814, 0.117450
0.490000, 43.000000, 0.384745, 0.110738
0.500000, 41.000000, 0.373773, 0.107383
0.510000, 39.000000, 0.382204, 0.114094
0.520000, 39.000000, 0.403017, 0.107383
0.530000, 38.000000, 0.374752, 0.107383
0.540000, 39.000000, 0.397073, 0.100671
0.550000, 38.000000, 0.385157, 0.114094
0.560000, 36.000000, 0.373638, 0.107383
0.570000, 36.000000, 0.345430, 0.104027
0.580000, 34.000000, 0.303070, 0.100671
0.590000, 32.000000, 0.288659, 0.093960
0.600000, 32.000000, 0.309788, 0.090604
0.610000, 31.000000, 0.267956, 0.087248
0.620000, 31.000000, 0.248724, 0.090604
0.630000, 30.000000, 0.245549, 0.087248
0.640000, 28.000000, 0.226346, 0.087248
0.650000, 28.000000, 0.220837, 0.087248
0.660000, 28.000000, 0.228389, 0.093960
0.670000, 28.000000, 0.215521, 0.097315
0.680000, 28.000000, 0.215982, 0.097315
0.690000, 25.000000, 0.209997, 0.080537
0.700000, 24.000000, 0.207207, 0.080537
0.710000, 24.000000, 0.201584, 0.080537
0.720000, 22.000000, 0.189909, 0.077181
0.730000, 22.000000, 0.195863, 0.077181
0.740000, 21.000000, 0.188267, 0.077181
0.750000, 21.000000, 0.190052, 0.080537
0.760000, 21.000000, 0.189872, 0.080537
0.770000, 21.000000, 0.188401, 0.080537
0.780000, 20.000000, 0.188130, 0.077181
0.790000, 20.000000, 0.192646, 0.077181
0.800000, 18.000000, 0.189158, 0.073826
0.810000, 18.000000, 0.188795, 0.073826
0.820000, 18.000000, 0.185918, 0.073826
0.830000, 18.000000, 0.180275, 0.073826
0.840000, 18.000000, 0.177722, 0.073826
0.850000, 18.000000, 0.181942, 0.073826
0.860000, 18.000000, 0.176055, 0.073826
0.870000, 18.000000, 0.179170, 0.073826
0.880000, 18.000000, 0.179364, 0.070470
0.890000, 18.000000, 0.174508, 0.070470
0.900000, 18.000000, 0.174790, 0.070470
0.910000, 18.000000, 0.176327, 0.070470
0.920000, 18.000000, 0.173691, 0.070470
0.930000, 18.000000, 0.181926, 0.070470
0.940000, 18.000000, 0.177079, 0.070470
0.950000, 17.000000, 0.172721, 0.070470
0.960000, 17.000000, 0.193245, 0.070470
0.970000, 17.000000, 0.189509, 0.070470
0.980000, 17.000000, 0.190972, 0.070470
0.990000, 17.000000, 0.185417, 0.070470
