teta, No hyperboxes, Training time, Testing error
0.010000, 118.000000, 0.080599, 0.000000
0.020000, 88.000000, 0.064529, 0.000000
0.030000, 67.000000, 0.047618, 0.000000
0.040000, 56.000000, 0.038493, 0.000000
0.050000, 48.000000, 0.072044, 0.000000
0.060000, 43.000000, 0.049226, 0.000000
0.070000, 36.000000, 0.042919, 0.000000
0.080000, 35.000000, 0.023223, 0.000000
0.090000, 33.000000, 0.021290, 0.000000
0.100000, 29.000000, 0.025764, 0.000000
0.110000, 26.000000, 0.020014, 0.000000
0.120000, 24.000000, 0.020223, 0.000000
0.130000, 21.000000, 0.022011, 0.000000
0.140000, 20.000000, 0.014562, 0.000000
0.150000, 19.000000, 0.014778, 0.000000
0.160000, 18.000000, 0.014575, 0.000000
0.170000, 17.000000, 0.014649, 0.000000
0.180000, 15.000000, 0.014668, 0.000000
0.190000, 15.000000, 0.014698, 0.000000
0.200000, 15.000000, 0.013614, 0.000000
0.210000, 13.000000, 0.013483, 0.000000
0.220000, 13.000000, 0.013398, 0.000000
0.230000, 13.000000, 0.013552, 0.000000
0.240000, 13.000000, 0.013222, 0.000000
0.250000, 14.000000, 0.013258, 0.000000
0.260000, 13.000000, 0.012384, 0.000000
0.270000, 13.000000, 0.012130, 0.000000
0.280000, 13.000000, 0.012079, 0.000000
0.290000, 13.000000, 0.012208, 0.000000
0.300000, 13.000000, 0.012288, 0.000000
0.310000, 13.000000, 0.012585, 0.000000
0.320000, 10.000000, 0.012749, 0.000000
0.330000, 10.000000, 0.012903, 0.000000
0.340000, 11.000000, 0.012715, 0.000000
0.350000, 11.000000, 0.012637, 0.000000
0.360000, 11.000000, 0.012560, 0.000000
0.370000, 10.000000, 0.012872, 0.000000
0.380000, 10.000000, 0.012331, 0.000000
0.390000, 9.000000, 0.011955, 0.000000
0.400000, 9.000000, 0.011017, 0.000000
0.410000, 9.000000, 0.011058, 0.000000
0.420000, 9.000000, 0.010873, 0.000000
0.430000, 9.000000, 0.009789, 0.085106
0.440000, 9.000000, 0.009725, 0.085106
0.450000, 9.000000, 0.012113, 0.085106
0.460000, 8.000000, 0.018317, 0.085106
0.470000, 7.000000, 0.017792, 0.255319
0.480000, 7.000000, 0.017494, 0.255319
0.490000, 7.000000, 0.018097, 0.085106
0.500000, 7.000000, 0.017123, 0.085106
0.510000, 7.000000, 0.017458, 0.085106
0.520000, 7.000000, 0.017201, 0.191489
0.530000, 7.000000, 0.017788, 0.255319
0.540000, 7.000000, 0.017733, 0.255319
0.550000, 7.000000, 0.017968, 0.255319
0.560000, 7.000000, 0.018096, 0.340426
0.570000, 7.000000, 0.018328, 0.340426
0.580000, 7.000000, 0.018016, 0.340426
0.590000, 7.000000, 0.018214, 0.340426
0.600000, 7.000000, 0.018104, 0.340426
0.610000, 7.000000, 0.010212, 0.340426
0.620000, 7.000000, 0.012871, 0.340426
0.630000, 7.000000, 0.009471, 0.340426
0.640000, 7.000000, 0.009498, 0.340426
0.650000, 6.000000, 0.010164, 0.340426
0.660000, 6.000000, 0.010615, 0.319149
0.670000, 6.000000, 0.010271, 0.361702
0.680000, 6.000000, 0.010527, 0.361702
0.690000, 6.000000, 0.010989, 0.361702
0.700000, 6.000000, 0.010077, 0.361702
0.710000, 6.000000, 0.010184, 0.361702
0.720000, 6.000000, 0.010478, 0.255319
0.730000, 6.000000, 0.009733, 0.297872
0.740000, 5.000000, 0.009433, 0.297872
0.750000, 5.000000, 0.009156, 0.340426
0.760000, 6.000000, 0.010776, 0.404255
0.770000, 5.000000, 0.011002, 0.595745
0.780000, 5.000000, 0.011036, 0.595745
0.790000, 5.000000, 0.011792, 0.638298
0.800000, 5.000000, 0.010678, 0.638298
0.810000, 5.000000, 0.010740, 0.574468
0.820000, 5.000000, 0.010333, 0.468085
0.830000, 5.000000, 0.010232, 0.574468
0.840000, 4.000000, 0.010063, 0.297872
0.850000, 4.000000, 0.010423, 0.297872
0.860000, 4.000000, 0.010828, 0.489362
0.870000, 4.000000, 0.010778, 0.489362
0.880000, 4.000000, 0.010600, 0.489362
0.890000, 4.000000, 0.019305, 0.489362
0.900000, 4.000000, 0.026351, 0.489362
0.910000, 4.000000, 0.025238, 0.489362
0.920000, 4.000000, 0.011272, 0.489362
0.930000, 4.000000, 0.015724, 0.489362
0.940000, 4.000000, 0.019015, 0.489362
0.950000, 4.000000, 0.019003, 0.489362
0.960000, 4.000000, 0.015867, 0.489362
0.970000, 4.000000, 0.010152, 0.489362
0.980000, 3.000000, 0.009562, 0.489362
0.990000, 3.000000, 0.009971, 0.489362
