teta, No hyperboxes, Training time, Testing error
0.010000, 118.000000, 0.105830, 0.000000
0.020000, 88.000000, 0.079153, 0.000000
0.030000, 67.000000, 0.060987, 0.000000
0.040000, 56.000000, 0.051128, 0.000000
0.050000, 48.000000, 0.043493, 0.000000
0.060000, 43.000000, 0.039162, 0.000000
0.070000, 36.000000, 0.038735, 0.000000
0.080000, 35.000000, 0.036015, 0.000000
0.090000, 33.000000, 0.031286, 0.000000
0.100000, 29.000000, 0.030015, 0.000000
0.110000, 26.000000, 0.028688, 0.000000
0.120000, 24.000000, 0.027036, 0.000000
0.130000, 21.000000, 0.025130, 0.000000
0.140000, 20.000000, 0.025035, 0.000000
0.150000, 19.000000, 0.025772, 0.000000
0.160000, 18.000000, 0.025832, 0.000000
0.170000, 17.000000, 0.026009, 0.000000
0.180000, 15.000000, 0.026185, 0.000000
0.190000, 15.000000, 0.025156, 0.000000
0.200000, 15.000000, 0.024967, 0.000000
0.210000, 13.000000, 0.024628, 0.000000
0.220000, 13.000000, 0.024880, 0.000000
0.230000, 13.000000, 0.025451, 0.000000
0.240000, 13.000000, 0.024178, 0.000000
0.250000, 14.000000, 0.024813, 0.000000
0.260000, 13.000000, 0.024422, 0.000000
0.270000, 13.000000, 0.025151, 0.000000
0.280000, 13.000000, 0.023186, 0.000000
0.290000, 13.000000, 0.023299, 0.000000
0.300000, 13.000000, 0.022570, 0.000000
0.310000, 13.000000, 0.023081, 0.000000
0.320000, 10.000000, 0.023437, 0.000000
0.330000, 10.000000, 0.023024, 0.000000
0.340000, 11.000000, 0.022969, 0.000000
0.350000, 11.000000, 0.023579, 0.000000
0.360000, 11.000000, 0.024598, 0.000000
0.370000, 10.000000, 0.024269, 0.000000
0.380000, 10.000000, 0.023809, 0.000000
0.390000, 9.000000, 0.023654, 0.000000
0.400000, 9.000000, 0.021481, 0.000000
0.410000, 9.000000, 0.021970, 0.000000
0.420000, 9.000000, 0.021787, 0.000000
0.430000, 9.000000, 0.021177, 0.085106
0.440000, 9.000000, 0.021499, 0.085106
0.450000, 9.000000, 0.020663, 0.085106
0.460000, 8.000000, 0.021117, 0.085106
0.470000, 7.000000, 0.020356, 0.255319
0.480000, 7.000000, 0.021004, 0.255319
0.490000, 7.000000, 0.022531, 0.085106
0.500000, 7.000000, 0.021457, 0.085106
0.510000, 7.000000, 0.022117, 0.085106
0.520000, 7.000000, 0.021844, 0.191489
0.530000, 7.000000, 0.023148, 0.255319
0.540000, 7.000000, 0.021344, 0.255319
0.550000, 7.000000, 0.021897, 0.255319
0.560000, 7.000000, 0.021136, 0.340426
0.570000, 7.000000, 0.022395, 0.340426
0.580000, 7.000000, 0.021137, 0.340426
0.590000, 7.000000, 0.021219, 0.340426
0.600000, 7.000000, 0.022144, 0.340426
0.610000, 7.000000, 0.021432, 0.340426
0.620000, 7.000000, 0.020942, 0.340426
0.630000, 7.000000, 0.021439, 0.340426
0.640000, 7.000000, 0.021206, 0.340426
0.650000, 6.000000, 0.023017, 0.340426
0.660000, 6.000000, 0.022043, 0.319149
0.670000, 6.000000, 0.022693, 0.361702
0.680000, 6.000000, 0.021796, 0.361702
0.690000, 6.000000, 0.022844, 0.361702
0.700000, 6.000000, 0.021844, 0.361702
0.710000, 6.000000, 0.022236, 0.361702
0.720000, 6.000000, 0.021831, 0.255319
0.730000, 6.000000, 0.021224, 0.297872
0.740000, 5.000000, 0.020682, 0.297872
0.750000, 5.000000, 0.022020, 0.340426
0.760000, 6.000000, 0.022309, 0.404255
0.770000, 5.000000, 0.022621, 0.595745
0.780000, 5.000000, 0.023228, 0.595745
0.790000, 5.000000, 0.022262, 0.638298
0.800000, 5.000000, 0.022572, 0.638298
0.810000, 5.000000, 0.022909, 0.574468
0.820000, 5.000000, 0.022091, 0.468085
0.830000, 5.000000, 0.022058, 0.574468
0.840000, 4.000000, 0.022941, 0.297872
0.850000, 4.000000, 0.022469, 0.297872
0.860000, 4.000000, 0.022117, 0.489362
0.870000, 4.000000, 0.021792, 0.489362
0.880000, 4.000000, 0.021217, 0.489362
0.890000, 4.000000, 0.021721, 0.489362
0.900000, 4.000000, 0.022118, 0.489362
0.910000, 4.000000, 0.022495, 0.489362
0.920000, 4.000000, 0.021956, 0.489362
0.930000, 4.000000, 0.022047, 0.489362
0.940000, 4.000000, 0.021689, 0.489362
0.950000, 4.000000, 0.021618, 0.489362
0.960000, 4.000000, 0.021141, 0.489362
0.970000, 4.000000, 0.019963, 0.489362
0.980000, 3.000000, 0.020111, 0.489362
0.990000, 3.000000, 0.019905, 0.489362
